
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 8E0909518AK_368072_NEF_STG_1_Tunedv7.ecu

ECU identified with following data:
HWNumber    = 0261208230       (requested was 0261208230)
SWNumber    = 1037368072       (requested was 1037368072)
PartNumber  = 8E0909518AK      (requested was 8E0909518AK)
SWVersion   = 0003             (requested was 0003)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 8E0909018A
ModelId     = G

Log packet size: 40 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  06.02.2026 18:03:39.399

TimeStamp, fr_w      , fra_w     , lamsbg_w  , ldtvm     , msdk_w    , mshfm_w   , nmot_w    , plsol_w   , ps_w      , pus_w     , pvdkds_w  , rkat_w    , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , ti_b1     , vfil_w    , wdkba     , wped_w    , zwout     
  sec.ms , -         , -         , -         , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , , , , , , °C        , ms        , km/h      , DK      , PED     , °KW       
"TIME","LambdaControl","AdaptationPartial","AirFuelRatioDesired","WastegateDutyCycle","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","","BaroPressure","BoostPressureActual","AdaptationIdle","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","FuelInjectorOnTime","VehicleSpeed","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall"
    0.000, 1         , 0.91803   , 1         , 0         , 14.6667   , 13.4722   , 1862.25   , 970.234   , 597.695   , 970.234   , 1021.72   , -0.75     , 43.5234   , 118.266   , 118.383   , 41.7422   , 565       , 3.108     , 38.3906   , 8.2353    , 24.8203   , 26.25     
    0.050, 1         , 0.91803   , 1         , 0         , 14.7222   , 13.5556   , 1866.25   , 970.234   , 589.219   , 970.234   , 1021.72   , -0.75     , 42.8438   , 118.359   , 118.547   , 41.6484   , 565       , 3.092     , 38.4609   , 8.2353    , 24.8203   , 26.25     
    0.100, 1         , 0.91803   , 1         , 0         , 14.6111   , 13.4445   , 1863      , 970.234   , 582.969   , 970.234   , 1019.1    , -0.75     , 42.3516   , 118.523   , 118.453   , 41.7891   , 565       , 3.092     , 38.5547   , 8.2353    , 24.8203   , 26.25     
    0.150, 1         , 0.91803   , 1         , 0         , 14.5556   , 14.1667   , 1863      , 970.234   , 578.008   , 970.234   , 1016.45   , -0.75     , 41.8594   , 118.125   , 118.5     , 41.8594   , 565       , 3.076     , 38.6172   , 8.2353    , 24.8203   , 26.25     
    0.200, 1         , 0.91803   , 1         , 0         , 14.5278   , 13.7222   , 1866.75   , 970.234   , 574.688   , 970.234   , 1013.79   , -0.75     , 41.5781   , 118.477   , 118.453   , 41.625    , 565       , 3.064     , 38.6719   , 8.2353    , 24.8203   , 27        
    0.250, 1         , 0.91803   , 1         , 0         , 14.7778   , 13.9167   , 1871      , 970.234   , 574.18    , 970.234   , 1011.17   , -0.75     , 41.5313   , 118.43    , 118.594   , 41.6719   , 565       , 3.08      , 38.7109   , 8.2353    , 24.8203   , 27        
    0.300, 1         , 0.91803   , 1         , 0         , 14.7778   , 13.6945   , 1868.5    , 970.234   , 573.594   , 970.234   , 1008.52   , -0.75     , 41.4844   , 118.57    , 118.594   , 41.6953   , 565       , 3.084     , 38.7734   , 8.2353    , 24.8203   , 27        
    0.350, 1         , 0.91803   , 1         , 0         , 14.6389   , 14.1945   , 1867.75   , 970.234   , 572.656   , 970.234   , 1008.52   , -0.75     , 41.4141   , 118.57    , 118.523   , 41.8828   , 565       , 3.084     , 38.8125   , 8.2353    , 24.8203   , 27        
