
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 8E0909518AK_368072_NEF_STG_1_Tunedv7.ecu

ECU identified with following data:
HWNumber    = 0261208230       (requested was 0261208230)
SWNumber    = 1037368072       (requested was 1037368072)
PartNumber  = 8E0909518AK      (requested was 8E0909518AK)
SWVersion   = 0003             (requested was 0003)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 8E0909018A
ModelId     = G

Log packet size: 42 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  07.02.2026 20:17:52.471

TimeStamp, fr_w      , fra_w     , lamsbg_w  , lamsoni_w , ldtvm     , msdk_w    , mshfm_w   , nmot_w    , plsol_w   , ps_w      , pus_w     , pvdkds_w  , rkat_w    , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , ti_b1     , vfil_w    , wdkba     , wped_w    , zwout     
  sec.ms , -         , -         , -         , -         , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , , , , , , °C        , ms        , km/h      , DK      , PED     , °KW       
"TIME","LambdaControl","AdaptationPartial","AirFuelRatioDesired","AirFuelRatioCurrent","WastegateDutyCycle","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","","BaroPressure","BoostPressureActual","AdaptationIdle","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","FuelInjectorOnTime","VehicleSpeed","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall"
  183.550, 1         , 0.819062  , 0.95508   , 1.2666    , 1.17188   , 33.3889   , 31.1111   , 3095.75   , 1400.78   , 463.984   , 985.117   , 976.836   , 0         , 33.0938   , 139.523   , 132.375   , 104.391   , 645       , 3.32      , 64.8438   , 16.8628   , 99.9999   , 15.75     
  183.600, 1         , 0.819062  , 0.958498  , 0.844972  , 1.17188   , 67.0001   , 49.8056   , 3153.5    , 1741.99   , 691.523   , 985.117   , 942.461   , 0         , 51.7031   , 139.805   , 133.031   , 138.211   , 645       , 4.768     , 64.75     , 27.0588   , 99.9999   , 6         
  183.650, 1         , 0.819062  , 0.958498  , 0.729982  , 1.17188   , 57.6389   , 59.9445   , 3162.5    , 1752.89   , 948.164   , 985.117   , 937.188   , 0         , 72.7734   , 140.367   , 133.594   , 139.125   , 645       , 5.452     , 64.5859   , 47.0588   , 99.9999   , 20.25     
  183.700, 1         , 0.819062  , 1         , 0.813722  , 1.17188   , 48.1667   , 49.0278   , 3046.75   , 1768.83   , 1032.46   , 985.117   , 963.594   , 0         , 80.1563   , 140.93    , 132.211   , 140.93    , 645       , 5.232     , 64.5234   , 65.8824   , 99.9999   , 21.75     
  183.750, 1.00018   , 0.819062  , 1         , 0.902345  , 1.17188   , 49.1667   , 51.6667   , 3086.25   , 1751.41   , 1057.42   , 985.117   , 974.18    , 0         , 82.4063   , 139.781   , 131.977   , 139.781   , 650       , 5.264     , 64.4688   , 80.3922   , 99.9999   , 21.75     
  183.800, 1         , 0.819062  , 1         , 0.952394  , 1.17188   , 51.0556   , 54.0834   , 3112      , 1743.59   , 1090.27   , 985.117   , 987.383   , 0         , 85.2891   , 139.5     , 132.82    , 139.5     , 650       , 5.376     , 64.4531   , 87.8432   , 99.9999   , 20.25     
  183.850, 1         , 0.819062  , 1         , 0.973634  , 1.17188   , 52.0834   , 54.4723   , 3082.5    , 1742.97   , 1111.91   , 985.117   , 997.969   , 0         , 87.3984   , 139.922   , 132.352   , 139.922   , 650       , 5.432     , 64.4453   , 92.5491   , 99.9999   , 19.5      
  183.900, 1         , 0.819062  , 1         , 0.967287  , 1.17188   , 53.4723   , 55.7223   , 3106      , 1734.06   , 1134.45   , 985.117   , 1013.79   , 0         , 89.8594   , 140.109   , 132.609   , 140.109   , 650       , 5.54      , 64.4766   , 95.2942   , 99.9999   , 17.25     
