
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 8E0909518AK_368072_NEF_STG_1_Tunedv7.ecu

ECU identified with following data:
HWNumber    = 0261208230       (requested was 0261208230)
SWNumber    = 1037368072       (requested was 1037368072)
PartNumber  = 8E0909518AK      (requested was 8E0909518AK)
SWVersion   = 0003             (requested was 0003)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 8E0909018A
ModelId     = G

Log packet size: 44 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  08.02.2026 16:04:37.995

TimeStamp, fr_w      , fra_w     , lamsbg_w  , lamsoni_w , ldrlts_w  , ldtvm     , msdk_w    , mshfm_w   , nmot_w    , plsol_w   , ps_w      , pus_w     , pvdkds_w  , rkat_w    , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , ti_b1     , vfil_w    , wdkba     , wped_w    , zwout     
  sec.ms , -         , -         , -         , -         , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , , , , , , °C        , ms        , km/h      , DK      , PED     , °KW       
"TIME","LambdaControl","AdaptationPartial","AirFuelRatioDesired","AirFuelRatioCurrent","ChargeLimitTurboProtection","WastegateDutyCycle","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","","BaroPressure","BoostPressureActual","AdaptationIdle","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","FuelInjectorOnTime","VehicleSpeed","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall"
    0.000, 0.85492   , 0.890351  , 1         , 0.842286  , 144.891   , 0         , 3.72223   , 3.61111   , 754.75    , 989.727   , 422.813   , 989.727   , 982.109   , -0.65625  , 27.2344   , 90.7266   , 90.75     , 27.0234   , 550       , 2.212     , 0         , 0.784314  , 0         , 7.5       
    0.050, 0.849305  , 0.890351  , 1         , 0.845949  , 144.891   , 0         , 3.72223   , 3.44445   , 755       , 989.727   , 418.359   , 989.727   , 982.109   , -0.65625  , 26.9063   , 90.7266   , 90.75     , 27.5156   , 550       , 2.184     , 0         , 0.784314  , 0         , 9.75      
    0.100, 1         , 0.890351  , 1         , 0.846925  , 144.891   , 0         , 3.69445   , 3.5       , 755.25    , 989.727   , 410.859   , 989.727   , 982.109   , -0.65625  , 26.3203   , 90.7266   , 90.75     , 27.375    , 550       , 2.324     , 0         , 0.784314  , 0         , 14.25     
    0.150, 0.976258  , 0.890351  , 1         , 0.840333  , 144.891   , 0         , 3.69445   , 3.41667   , 755.75    , 989.727   , 407.344   , 989.727   , 982.109   , -0.65625  , 26.0625   , 90.7266   , 90.75     , 27.6094   , 550       , 2.28      , 0         , 0.784314  , 0         , 16.5      
    0.200, 0.967835  , 0.890351  , 1         , 0.837648  , 144.891   , 0         , 3.66667   , 3.86111   , 757.5     , 989.727   , 408.164   , 989.727   , 982.109   , -0.65625  , 26.1094   , 90.7266   , 90.75     , 27.6563   , 550       , 2.316     , 0         , 0.784314  , 0         , 19.5      
    0.250, 0.965333  , 0.890351  , 1         , 0.842286  , 144.891   , 0         , 3.91667   , 4.13889   , 762.5     , 989.727   , 411.211   , 989.727   , 982.109   , -0.65625  , 26.3438   , 90.7266   , 90.75     , 27.5859   , 550       , 2.328     , 0         , 1.17647   , 0         , 15        
    0.300, 0.958008  , 0.890351  , 1         , 0.839601  , 144.891   , 0         , 4.05556   , 3.63889   , 762.5     , 989.727   , 411.914   , 989.727   , 982.109   , -0.65625  , 26.4141   , 90.7266   , 90.75     , 27.5391   , 550       , 2.28      , 0         , 1.17647   , 0         , 12        
    0.350, 0.947755  , 0.890351  , 1         , 0.833009  , 144.891   , 0         , 3.94445   , 3.94445   , 764.25    , 989.727   , 412.695   , 989.766   , 982.109   , -0.65625  , 26.4609   , 90.7266   , 90.75     , 27.5859   , 550       , 2.292     , 0         , 0.784314  , 0         , 12        
    0.400, 0.938447  , 0.890351  , 1         , 0.834962  , 144.891   , 0         , 3.91667   , 3.69445   , 768.5     , 989.766   , 410.977   , 989.766   , 982.109   , -0.65625  , 26.3438   , 90.7266   , 90.75     , 27.5391   , 550       , 2.264     , 0         , 0.784314  , 0         , 9.75      
    0.450, 0.928742  , 0.890351  , 1         , 0.839601  , 144.891   , 0         , 3.91667   , 3.77778   , 770       , 989.766   , 410.078   , 989.766   , 982.109   , -0.65625  , 26.2734   , 90.7266   , 90.75     , 27.4219   , 550       , 2.26      , 0         , 0.784314  , 0         , 9.75      
    0.500, 0.913605  , 0.890351  , 1         , 0.833009  , 144.891   , 0         , 3.91667   , 4.08334   , 777       , 989.766   , 412.852   , 989.766   , 982.109   , -0.65625  , 26.4844   , 90.7266   , 90.75     , 27.2813   , 550       , 2.264     , 0         , 0.784314  , 0         , 8.25      
    0.550, 0.9003    , 0.890351  , 1         , 0.829347  , 144.891   , 0         , 3.88889   , 4.36111   , 781.5     , 989.766   , 416.484   , 989.766   , 982.109   , -0.65625  , 26.7422   , 90.7266   , 90.75     , 27.1875   , 550       , 2.28      , 0         , 0.784314  , 0         , 6.75      
    0.600, 0.891328  , 0.890351  , 1         , 0.834962  , 144.891   , 0         , 3.91667   , 3.83334   , 777       , 989.766   , 415.234   , 989.766   , 982.109   , -0.65625  , 26.6484   , 90.7266   , 90.75     , 27.0703   , 550       , 2.24      , 0         , 0.784314  , 0         , 6         
    0.650, 0.879304  , 0.890351  , 1         , 0.832033  , 144.891   , 0         , 3.91667   , 4.72223   , 769.25    , 989.766   , 423.594   , 989.766   , 982.109   , -0.65625  , 27.3047   , 90.7266   , 90.75     , 27.4219   , 550       , 2.3       , 0         , 0.784314  , 0         , 9         
    0.700, 0.865998  , 0.890351  , 1         , 0.822999  , 144.891   , 0         , 3.94445   , 4.33334   , 772.75    , 989.766   , 426.328   , 989.766   , 982.109   , -0.65625  , 27.4922   , 90.7266   , 90.75     , 27.4453   , 550       , 2.272     , 0         , 0.784314  , 0         , 6         
    0.750, 0.857819  , 0.890351  , 1         , 0.824708  , 144.891   , 0         , 3.97223   , 4.25      , 769.25    , 989.766   , 428.242   , 989.688   , 982.109   , -0.65625  , 27.6563   , 90.7266   , 90.75     , 27.3984   , 550       , 2.256     , 0         , 0.784314  , 0         , 6         
    0.800, 0.850983  , 0.890351  , 1         , 0.830324  , 144.891   , 0         , 3.94445   , 3.52778   , 767.25    , 989.688   , 423.516   , 989.688   , 982.109   , -0.65625  , 27.2813   , 90.7266   , 90.75     , 27.5391   , 550       , 2.196     , 0         , 0.784314  , 0         , 6.75      
    0.850, 0.992127  , 0.890351  , 1         , 0.823732  , 144.891   , 0         , 3.86111   , 3.94445   , 771.25    , 989.688   , 417.422   , 989.688   , 982.109   , -0.65625  , 26.8359   , 90.7266   , 90.75     , 27.6563   , 550       , 2.368     , 0         , 0.784314  , 0         , 9         
    0.900, 0.970582  , 0.890351  , 1         , 0.822023  , 144.891   , 0         , 3.83334   , 3.94445   , 771.25    , 989.688   , 417.344   , 989.688   , 982.109   , -0.65625  , 26.8125   , 90.7266   , 90.75     , 27.5391   , 550       , 2.344     , 0         , 0.784314  , 0         , 9         
    0.950, 0.965333  , 0.890351  , 1         , 0.829347  , 144.891   , 0         , 3.86111   , 3.69445   , 773       , 989.688   , 414.961   , 989.727   , 982.109   , -0.65625  , 26.6484   , 90.7266   , 90.75     , 27.5625   , 550       , 2.308     , 0         , 0.784314  , 0         , 8.25      
    1.000, 0.960725  , 0.890351  , 1         , 0.830324  , 144.891   , 0         , 3.83334   , 3.08334   , 776       , 989.727   , 403.008   , 989.727   , 982.109   , -0.65625  , 25.7344   , 90.7266   , 90.75     , 27.5391   , 550       , 2.208     , 0         , 0.784314  , 0         , 10.5      
    1.050, 0.951874  , 0.890351  , 1         , 0.824708  , 144.891   , 0         , 3.80556   , 3.58334   , 774       , 989.727   , 401.016   , 989.727   , 982.109   , -0.65625  , 25.5703   , 90.7266   , 90.75     , 27.4922   , 550       , 2.24      , 0         , 0.784314  , 0         , 13.5      
    1.100, 0.944245  , 0.890351  , 1         , 0.829347  , 144.891   , 0         , 3.97223   , 4.02778   , 775       , 989.727   , 403.164   , 989.727   , 982.109   , -0.65625  , 25.7344   , 90.7266   , 90.75     , 27.5625   , 550       , 2.272     , 0         , 1.17647   , 0         , 13.5      
    1.150, 0.934357  , 0.890351  , 1         , 0.833986  , 144.891   , 0         , 4         , 3.69445   , 778.75    , 989.727   , 401.953   , 989.727   , 982.109   , -0.65625  , 25.6406   , 90.7266   , 90.75     , 27.4453   , 550       , 2.24      , 0         , 1.17647   , 0         , 12        
    1.200, 0.919282  , 0.890351  , 1         , 0.82837   , 144.891   , 0         , 4.13889   , 3.97223   , 780.75    , 989.727   , 403.633   , 989.727   , 982.109   , -0.65625  , 25.7813   , 90.7266   , 90.75     , 27.2578   , 550       , 2.24      , 0         , 1.17647   , 0         , 10.5      
    1.250, 0.906708  , 0.890351  , 1         , 0.82837   , 144.891   , 0         , 4.08334   , 3.83334   , 777.25    , 989.727   , 403.672   , 989.727   , 982.109   , -0.65625  , 25.7813   , 90.7266   , 90.75     , 27.375    , 550       , 2.224     , 0         , 1.17647   , 0         , 11.25     
    1.300, 0.896699  , 0.890351  , 1         , 0.833986  , 144.891   , 0         , 4.11111   , 3.72223   , 781.25    , 989.727   , 402.539   , 989.727   , 982.109   , -0.65625  , 25.6875   , 90.7266   , 90.75     , 27.4219   , 550       , 2.2       , 0         , 1.17647   , 0         , 10.5      
    1.350, 1         , 0.890351  , 1         , 0.82837   , 144.891   , 0         , 4.05556   , 4.08334   , 791       , 989.727   , 400.703   , 989.727   , 982.109   , -0.65625  , 25.5469   , 90.7266   , 90.75     , 27.1406   , 550       , 2.32      , 0         , 1.17647   , 0         , 9         
    1.400, 0.973817  , 0.890351  , 1         , 0.824708  , 144.891   , 0         , 4.02778   , 4.22223   , 796.5     , 989.727   , 403.594   , 989.727   , 982.109   , -0.65625  , 25.7813   , 90.7266   , 90.75     , 27.0234   , 550       , 2.32      , 0         , 1.17647   , 0         , 6.75      
    1.450, 0.967499  , 0.890351  , 1         , 0.832033  , 144.867   , 0         , 4.13889   , 5.11112   , 801       , 989.727   , 413.711   , 989.688   , 982.109   , -0.65625  , 26.5313   , 90.7266   , 90.75     , 26.7891   , 550       , 2.4       , 0         , 1.17647   , 0         , 5.25      
