
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 8E0909518AK_368072_NEF_STG_1_Tunedv7.ecu

ECU identified with following data:
HWNumber    = 0261208230       (requested was 0261208230)
SWNumber    = 1037368072       (requested was 1037368072)
PartNumber  = 8E0909518AK      (requested was 8E0909518AK)
SWVersion   = 0003             (requested was 0003)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 8E0909018A
ModelId     = G

Log packet size: 44 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  08.02.2026 17:51:44.125

TimeStamp, fr_w      , fra_w     , lamsbg_w  , lamsoni_w , ldrlts_w  , ldtvm     , msdk_w    , mshfm_w   , nmot_w    , plsol_w   , ps_w      , pus_w     , pvdkds_w  , rkat_w    , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , ti_b1     , vfil_w    , wdkba     , wped_w    , zwout     
  sec.ms , -         , -         , -         , -         , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , , , , , , °C        , ms        , km/h      , DK      , PED     , °KW       
"TIME","LambdaControl","AdaptationPartial","AirFuelRatioDesired","AirFuelRatioCurrent","ChargeLimitTurboProtection","WastegateDutyCycle","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","","BaroPressure","BoostPressureActual","AdaptationIdle","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","FuelInjectorOnTime","VehicleSpeed","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall"
    0.000, 0.833161  , 0.86197   , 1         , 0.804445  , 152.086   , 0         , 9.41667   , 9.22223   , 1457.5    , 990.039   , 429.766   , 990.039   , 987.383   , 0         , 30.1641   , 108.539   , 108.375   , 34.6172   , 585       , 2.416     , 49.3438   , 5.4902    , 17.2656   , 28.5      
    0.050, 0.818787  , 0.86197   , 1         , 0.821046  , 152.086   , 0         , 9.3889    , 9.00001   , 1460.5    , 990.039   , 437.148   , 990.039   , 987.383   , 0         , 30.75     , 108.375   , 108.492   , 34.5234   , 585       , 2.384     , 49.2813   , 5.4902    , 17.2656   , 28.5      
    0.100, 0.809785  , 0.86197   , 1         , 0.842286  , 152.086   , 0         , 9.3889    , 9.16667   , 1458      , 990.039   , 442.617   , 990.039   , 987.383   , 0         , 31.1719   , 108.469   , 108.375   , 34.5      , 585       , 2.388     , 49.2344   , 5.4902    , 17.2656   , 27.75     
    0.150, 0.802064  , 0.86197   , 1         , 0.864259  , 152.063   , 0         , 9.44445   , 9.50001   , 1455.25   , 990.039   , 452.969   , 990.039   , 987.383   , 0         , 31.9688   , 108.352   , 108.211   , 34.6172   , 585       , 2.432     , 49.1797   , 5.4902    , 17.2656   , 27.75     
    0.200, 0.798798  , 0.86197   , 1         , 0.885744  , 152.086   , 0         , 9.3889    , 9.36112   , 1455      , 990.039   , 457.578   , 990.039   , 987.383   , 0         , 32.3438   , 108.211   , 108.281   , 34.5703   , 585       , 2.42      , 49.1484   , 5.4902    , 17.2656   , 27.75     
    0.250, 0.797059  , 0.86197   , 1         , 0.903322  , 152.063   , 0         , 9.50001   , 9.72223   , 1452.25   , 990.039   , 462.969   , 990.039   , 987.383   , 0         , 32.7422   , 108.258   , 108.164   , 34.6641   , 585       , 2.444     , 49.0625   , 5.88235   , 17.2656   , 27.75     
    0.300, 0.798188  , 0.86197   , 1         , 0.925539  , 152.063   , 0         , 9.52779   , 9.52779   , 1449.75   , 990.039   , 468.125   , 990.039   , 987.383   , 0         , 33.1641   , 108.141   , 108.07    , 34.5234   , 585       , 2.436     , 49.0391   , 5.4902    , 17.2656   , 27.75     
    0.350, 0.803101  , 0.86197   , 1         , 0.948488  , 152.063   , 0         , 9.47223   , 8.97223   , 1452      , 990.039   , 466.797   , 990.039   , 987.383   , 0         , 33.0469   , 108.07    , 108.164   , 34.6406   , 585       , 2.4       , 49        , 5.4902    , 17.2656   , 27        
    0.400, 0.779389  , 0.86197   , 1         , 0.949953  , 152.063   , 0         , 9.50001   , 9.86112   , 1448      , 990.039   , 473.164   , 990.039   , 987.383   , 0         , 33.5391   , 108.141   , 108.094   , 34.6406   , 585       , 2.432     , 48.9844   , 5.4902    , 17.2656   , 27        
    0.450, 0.786469  , 0.86197   , 1         , 0.972414  , 152.039   , 0         , 9.47223   , 9.50001   , 1447.25   , 990.039   , 475.43    , 990.039   , 987.383   , 0         , 33.7266   , 108.07    , 107.977   , 34.6875   , 585       , 2.416     , 48.9063   , 5.4902    , 17.2656   , 27        
    0.500, 0.788697  , 0.86197   , 1         , 0.979982  , 152.063   , 0         , 9.47223   , 9.77779   , 1450      , 990.039   , 479.023   , 990.039   , 990.039   , 0         , 34.0078   , 107.977   , 108.07    , 34.6172   , 585       , 2.436     , 48.875    , 5.4902    , 17.2656   , 27        
    0.550, 0.842438  , 0.86197   , 1         , 0.986085  , 152.039   , 0         , 9.52779   , 9.72223   , 1443      , 990.039   , 480.82    , 990.039   , 987.383   , 0         , 34.1484   , 108.023   , 107.813   , 34.1719   , 585       , 2.524     , 48.8125   , 5.4902    , 16.9054   , 27        
    0.600, 0.84726   , 0.86197   , 1         , 0.997072  , 152.039   , 0         , 9.50001   , 9.44445   , 1446      , 990.039   , 482.383   , 990.039   , 987.383   , 0         , 34.2656   , 107.813   , 107.93    , 34.0313   , 585       , 2.504     , 48.7813   , 5.4902    , 16.9054   , 27        
    0.650, 0.846619  , 0.86197   , 1         , 0.998537  , 152.039   , 0         , 9.19445   , 9.3889    , 1443      , 990.039   , 481.289   , 990.039   , 987.383   , 0         , 34.1719   , 107.906   , 107.813   , 34.1484   , 585       , 2.504     , 48.7422   , 5.4902    , 16.9054   , 27        
    0.700, 0.848206  , 0.86197   , 1         , 1.00366   , 152.039   , 0         , 9.25001   , 9.16667   , 1444.25   , 990.039   , 479.063   , 990.039   , 987.383   , 0         , 34.0078   , 107.813   , 107.859   , 34.0313   , 585       , 2.492     , 48.7031   , 5.4902    , 16.9054   , 27        
    0.750, 0.850983  , 0.86197   , 1         , 1.00488   , 152.016   , 0         , 9.25001   , 9.47223   , 1441.25   , 990.039   , 480.625   , 990.039   , 987.383   , 0         , 34.125    , 107.836   , 107.742   , 34.1719   , 585       , 2.512     , 48.6641   , 5.4902    , 16.9054   , 27        
    0.800, 0.849885  , 0.86197   , 1         , 0.998537  , 152.016   , 0         , 9.25001   , 9.72223   , 1441.75   , 990.039   , 484.531   , 990.039   , 987.383   , 0         , 34.4297   , 107.719   , 107.766   , 34.125    , 585       , 2.532     , 48.6406   , 5.4902    , 16.9054   , 27        
    0.850, 0.800751  , 0.86197   , 1         , 0.994142  , 151.992   , 0         , 9.27779   , 9.25001   , 1435.75   , 990.039   , 482.539   , 990.039   , 990.039   , 0         , 34.2656   , 107.742   , 107.531   , 34.2891   , 585       , 2.416     , 48.5781   , 5.4902    , 16.9054   , 27        
    0.900, 0.800477  , 0.86197   , 1         , 0.989992  , 151.992   , 0         , 9.27779   , 9.02778   , 1439.25   , 990.039   , 479.648   , 990.039   , 987.383   , 0         , 34.0547   , 107.508   , 107.461   , 34.3594   , 580       , 2.408     , 48.5547   , 5.4902    , 16.9054   , 27        
    0.950, 0.801331  , 0.86197   , 1         , 0.986085  , 151.992   , 0         , 9.27779   , 9.25001   , 1434.75   , 990.039   , 479.141   , 990.039   , 987.383   , 0         , 34.0078   , 107.438   , 107.484   , 34.2891   , 580       , 2.424     , 48.5      , 5.4902    , 16.9054   , 27        
    1.000, 0.801301  , 0.86197   , 1         , 0.983644  , 151.992   , 0         , 9.25001   , 8.8889    , 1433.25   , 990.039   , 476.289   , 990.039   , 990.039   , 0         , 33.7734   , 107.461   , 107.438   , 33.0469   , 580       , 2.372     , 48.4609   , 5.4902    , 16.1867   , 27        
    1.050, 0.800599  , 0.86197   , 1         , 0.989992  , 151.992   , 0         , 9.16667   , 9.1389    , 1439.25   , 990.039   , 471.602   , 990.039   , 990.039   , 0         , 33.4219   , 107.438   , 107.672   , 32.1328   , 580       , 2.372     , 48.4219   , 5.4902    , 15.8266   , 27        
    1.100, 0.801209  , 0.86197   , 1         , 0.994142  , 151.992   , 0         , 8.75001   , 9.08334   , 1433      , 990.039   , 471.445   , 990.039   , 990.039   , 0         , 33.3984   , 107.648   , 107.414   , 31.8047   , 580       , 2.376     , 48.4141   , 5.09804   , 15.4665   , 27        
    1.150, 0.850892  , 0.86197   , 1         , 0.998537  , 151.992   , 0         , 8.75001   , 7.83334   , 1432.25   , 990.039   , 461.719   , 990.039   , 990.039   , 0         , 32.6484   , 107.391   , 107.391   , 26.3203   , 580       , 2.38      , 48.3906   , 5.09804   , 11.3298   , 23.25     
    1.200, 0.852021  , 0.86197   , 1         , 1.00611   , 151.992   , 0         , 6.94445   , 6.83334   , 1431      , 990.039   , 446.445   , 990.039   , 990.039   , 0         , 31.4531   , 107.367   , 107.344   , 24.5859   , 580       , 2.276     , 48.375    , 3.92157   , 5.75417   , 11.25     
    1.250, 0.851716  , 0.86197   , 1         , 1.01001   , 151.969   , 0         , 6.97223   , 7.16667   , 1425.75   , 990.039   , 431.875   , 990.039   , 990.039   , 0         , 30.3281   , 107.32    , 107.133   , 21.7969   , 580       , 2.24      , 48.3203   , 3.92157   , 0         , 4.5       
    1.300, 0.850342  , 0.86197   , 1         , 1.01148   , 151.969   , 0         , 5.94445   , 5.5       , 1426.25   , 990.039   , 405.703   , 990.039   , 992.656   , 0         , 28.2891   , 107.133   , 107.156   , 23.2266   , 580       , 2.136     , 48.2891   , 3.13726   , 0         , -0.75     
    1.350, 0.853516  , 0.86197   , 1         , 1.01001   , 151.945   , 0         , 5.94445   , 5.86112   , 1419.75   , 990.039   , 389.688   , 990.039   , 990.039   , 0         , 27.0469   , 107.109   , 106.922   , 21.6094   , 580       , 2.116     , 48.2656   , 3.13726   , 0         , -1.5      
    1.400, 0.853272  , 0.86197   , 1         , 1.00611   , 151.922   , 0         , 5.91667   , 5.61112   , 1411.75   , 990.039   , 372.109   , 990.039   , 990.039   , 0         , 25.6875   , 106.898   , 106.711   , 20.5313   , 580       , 2.072     , 48.2422   , 3.13726   , 0         , -1.5      
