
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 8E0909518AK_368072_NEF_STG_1_Tunedv7.ecu

ECU identified with following data:
HWNumber    = 0261208230       (requested was 0261208230)
SWNumber    = 1037368072       (requested was 1037368072)
PartNumber  = 8E0909518AK      (requested was 8E0909518AK)
SWVersion   = 0003             (requested was 0003)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 8E0909018A
ModelId     = G

Log packet size: 32 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  10.02.2026 23:30:53.940

TimeStamp, nmot_w    , wped_w    , wdkba     , rl_w      , rlsol_w   , plsol_w   , pvdkds_w  , ps_w      , pus_w     , ldtvm     , zwout     , dwkrz_0   , dwkrz_2   , dwkrz_3   , dwkrz_1   , lamsbg_w  , lamsoni_w , tans      , msdk_w    , mshfm_w   
  sec.ms , rpm       , PED     , DK      , , , mbar      , mbar      , mbar      , mbar      , , °KW       , °KW       , °KW       , °KW       , °KW       , -         , -         , °C        , g/s       , g/s       
"TIME","EngineSpeed","AccelPedalPosition","ThrottlePlateAngle","EngineLoad","EngineLoadRequested","BoostPressureDesired","BoostPressureActual","","BaroPressure","WastegateDutyCycle","IgnitionTimingAngleOverall","IgnitionRetardCyl1","IgnitionRetardCyl2","IgnitionRetardCyl3","IgnitionRetardCyl4","AirFuelRatioDesired","AirFuelRatioCurrent","IntakeAirTemperature","MassAirFlowAtThrottlePlate","MassAirFlow"
    0.000, 3396.25   , 0         , 7.45098   , 22.2188   , 18.9141   , 970.703   , 1082.5    , 382.93    , 970.703   , 0         , 12        , 0         , 0         , 0         , 0         , 1         , 0.740968  , 4.5       , 13.0556   , 11.5      
    0.050, 3413.25   , 0         , 7.05883   , 22.1953   , 18.0234   , 970.703   , 1074.57   , 368.438   , 970.703   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 0.732911  , 4.5       , 12.25     , 10.6945   
    0.100, 3415.5    , 0         , 6.66667   , 22.1719   , 17.25     , 970.703   , 1066.64   , 344.18    , 970.703   , 0         , 1.5       , 0         , 0         , 0         , 0         , 1         , 0.743165  , 4.5       , 11.6389   , 10.3333   
    0.150, 3404      , 0         , 6.66667   , 20.2031   , 16.4531   , 970.703   , 1061.37   , 320.859   , 970.703   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 0.753419  , 4.5       , 11.4167   , 10.4167   
    0.200, 3415.5    , 0         , 6.27451   , 18.7266   , 15.6328   , 970.781   , 1056.05   , 297.734   , 970.781   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 0.745607  , 4.5       , 10.75     , 9.94445   
    0.250, 3407.5    , 0         , 5.88235   , 17.2969   , 15.0469   , 970.781   , 1048.13   , 280.547   , 970.781   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 0.762208  , 4.5       , 10.0556   , 9.3889    
    0.300, 3393.5    , 0         , 5.88235   , 16.3828   , 14.5781   , 970.742   , 1048.13   , 269.219   , 970.742   , 0         , 5.25      , 0         , 0         , 0         , 0         , 1         , 0.813722  , 4.5       , 9.61112   , 8.80556   
    0.350, 3402.5    , 0         , 5.4902    , 15.5859   , 14.4375   , 970.742   , 1042.85   , 259.453   , 970.742   , 0         , 5.25      , 0         , 0         , 0         , 0         , 1         , 0.852296  , 4.5       , 9.1389    , 8.16667   
    0.400, 3394.25   , 0         , 5.4902    , 14.9063   , 14.25     , 970.742   , 1034.92   , 250.977   , 970.742   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 0.867921  , 4.5       , 9.11112   , 8.05556   
    0.450, 3383.25   , 0         , 5.4902    , 14.5313   , 14.25     , 970.742   , 1032.3    , 246.133   , 970.742   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 0.881349  , 4.5       , 9.05556   , 8.25001   
    0.500, 3386      , 0         , 5.4902    , 14.2734   , 14.25     , 970.742   , 1029.65   , 243.281   , 970.742   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 0.884523  , 4.5       , 9.02778   , 8.08334   
    0.550, 3377.75   , 0         , 5.4902    , 14.1328   , 14.25     , 970.742   , 1026.99   , 241.445   , 970.742   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 0.90674   , 4.5       , 8.97223   , 8.1389    
    0.600, 3360.5    , 0         , 5.4902    , 14.0859   , 14.25     , 970.742   , 1024.38   , 240.43    , 970.742   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 0.981203  , 4.5       , 8.91667   , 8.47223   
    0.650, 3354.5    , 0         , 5.4902    , 14.0156   , 14.25     , 970.742   , 1024.38   , 239.336   , 970.742   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 1.02319   , 4.5       , 8.8889    , 8.3889    
    0.700, 3356      , 0         , 5.4902    , 13.9453   , 14.25     , 970.742   , 1021.72   , 238.828   , 970.742   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 1.06177   , 4.5       , 8.91667   , 8.55556   
    0.750, 3353      , 0         , 5.4902    , 13.9453   , 14.25     , 970.742   , 1019.1    , 238.789   , 970.742   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 1.1001    , 4.5       , 8.8889    , 8.36112   
    0.800, 3341.75   , 0         , 5.4902    , 13.9922   , 14.25     , 970.742   , 1019.1    , 239.023   , 970.742   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 1.11255   , 4.5       , 8.91667   , 8.27778   
    0.850, 3335.75   , 0         , 5.4902    , 13.7344   , 14.25     , 970.742   , 1016.45   , 235.781   , 970.742   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 1.13013   , 4.5       , 8.8889    , 7.94445   
    0.900, 3322.5    , 0         , 5.4902    , 13.6172   , 14.25     , 970.781   , 1016.45   , 233.984   , 970.781   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 1.13745   , 4.5       , 8.94445   , 8.52778   
    0.950, 3318.5    , 0         , 5.4902    , 13.5938   , 14.25     , 970.781   , 1013.79   , 233.594   , 970.781   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 1.15357   , 4.5       , 8.91667   , 8.69445   
    1.000, 3324.25   , 0         , 5.4902    , 13.4766   , 14.25     , 970.781   , 1013.79   , 231.875   , 970.781   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 1.13745   , 4.5       , 8.83334   , 8.05556   
    1.050, 3328.75   , 0         , 5.4902    , 13.1719   , 14.25     , 970.781   , 1011.17   , 229.18    , 970.781   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 1.12744   , 4.5       , 8.83334   , 7.97223   
    1.100, 3277.75   , 0         , 5.4902    , 13.5938   , 14.25     , 970.781   , 1008.52   , 232.422   , 970.781   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 1.06641   , 4.5       , 9.00001   , 9.22223   
    1.150, 3309      , 0         , 5.4902    , 13.6641   , 14.25     , 970.781   , 1008.52   , 233.633   , 970.781   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 1.13745   , 4.5       , 8.94445   , 8.77778   
    1.200, 3317      , 0         , 5.4902    , 13.4766   , 14.25     , 970.742   , 1008.52   , 232.07    , 970.742   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 1.51099   , 4.5       , 8.80556   , 8.19445   
    1.250, 3280.25   , 0         , 5.4902    , 13.6406   , 14.25     , 970.742   , 1008.52   , 232.852   , 970.742   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 2.07129   , 4.5       , 8.77778   , 8.3889    
    1.300, 3281      , 0         , 5.4902    , 13.6172   , 14.25     , 970.742   , 1005.86   , 231.992   , 970.742   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 2.84668   , 4.5       , 8.77778   , 8.30556   
    1.350, 3293.75   , 0         , 5.4902    , 13.4766   , 14.25     , 970.742   , 1005.86   , 231.016   , 970.742   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 3.71534   , 4.5       , 8.80556   , 8.27778   
    1.400, 3268.25   , 0         , 5.4902    , 13.5234   , 14.25     , 970.742   , 1005.86   , 230.977   , 970.742   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 4.73316   , 4.5       , 8.72223   , 8.02778   
    1.450, 3261.75   , 0         , 5.4902    , 13.5234   , 14.25     , 970.742   , 1003.24   , 230.547   , 970.742   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 5.00001   , 4.5       , 8.83334   , 7.86112   
    1.500, 3267.5    , 0         , 5.4902    , 13.3828   , 14.25     , 970.742   , 1005.86   , 229.609   , 970.742   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 5.00001   , 4.5       , 8.77778   , 8.16667   
    1.550, 3259      , 0         , 5.4902    , 13.3828   , 14.25     , 970.742   , 1003.24   , 229.492   , 970.742   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 5.00001   , 4.5       , 8.72223   , 8.1389    
    1.600, 3246      , 0         , 5.4902    , 13.5234   , 14.25     , 970.742   , 1003.24   , 230.508   , 970.742   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 5.00001   , 4.5       , 8.69445   , 8.41667   
    1.650, 3246.75   , 0         , 5.4902    , 13.3359   , 14.25     , 970.742   , 1000.59   , 228.398   , 970.742   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 5.00001   , 4.5       , 8.58334   , 8.19445   
    1.700, 3242.75   , 0         , 5.4902    , 13.4766   , 14.25     , 970.742   , 1000.59   , 229.961   , 970.742   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 5.00001   , 4.5       , 8.6389    , 8.52778   
    1.750, 3237.25   , 0         , 5.4902    , 13.4063   , 14.25     , 970.742   , 997.969   , 229.023   , 970.742   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 5.00001   , 4.5       , 8.52778   , 8.47223   
    1.800, 3229.5    , 0         , 5.4902    , 13.3359   , 14.25     , 970.742   , 1000.59   , 227.93    , 970.742   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 5.00001   , 4.5       , 8.66667   , 8.19445   
    1.850, 3231.25   , 0         , 5.4902    , 13.3828   , 14.25     , 970.742   , 1000.59   , 228.242   , 970.742   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 5.00001   , 4.5       , 8.6389    , 8.52778   
    1.900, 3217.75   , 0         , 5.4902    , 13.3828   , 14.25     , 970.703   , 1000.59   , 228.086   , 970.703   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 5.00001   , 4.5       , 8.61112   , 8.36112   
    1.950, 3215      , 0         , 5.4902    , 13.6406   , 14.25     , 970.703   , 1000.59   , 231.133   , 970.703   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 5.00001   , 4.5       , 8.58334   , 8.58334   
    2.000, 3201.5    , 0         , 5.4902    , 13.7578   , 14.25     , 970.703   , 997.969   , 231.953   , 970.703   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 5.00001   , 4.5       , 8.58334   , 8.22223   
    2.050, 3198.5    , 0         , 5.4902    , 13.7344   , 14.25     , 970.703   , 997.969   , 231.758   , 970.703   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 5.00001   , 4.5       , 8.58334   , 8.1389    
    2.100, 3178.25   , 0         , 5.4902    , 13.8516   , 14.25     , 970.703   , 997.969   , 232.5     , 970.703   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 5.00001   , 4.5       , 8.58334   , 8.52778   
    2.150, 3180.25   , 0         , 5.4902    , 13.9688   , 14.25     , 970.703   , 997.969   , 233.633   , 970.703   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 5.00001   , 4.5       , 8.58334   , 8.47223   
