
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 8E0909518AK_368072_NEF_STG_1_Tunedv7.ecu

ECU identified with following data:
HWNumber    = 0261208230       (requested was 0261208230)
SWNumber    = 1037368072       (requested was 1037368072)
PartNumber  = 8E0909518AK      (requested was 8E0909518AK)
SWVersion   = 0003             (requested was 0003)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 8E0909018A
ModelId     = G

Log packet size: 32 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  10.02.2026 23:32:36.031

TimeStamp, nmot_w    , wped_w    , wdkba     , rl_w      , rlsol_w   , plsol_w   , pvdkds_w  , ps_w      , pus_w     , ldtvm     , zwout     , dwkrz_0   , dwkrz_2   , dwkrz_3   , dwkrz_1   , lamsbg_w  , lamsoni_w , tans      , msdk_w    , mshfm_w   
  sec.ms , rpm       , PED     , DK      , , , mbar      , mbar      , mbar      , mbar      , , °KW       , °KW       , °KW       , °KW       , °KW       , -         , -         , °C        , g/s       , g/s       
"TIME","EngineSpeed","AccelPedalPosition","ThrottlePlateAngle","EngineLoad","EngineLoadRequested","BoostPressureDesired","BoostPressureActual","","BaroPressure","WastegateDutyCycle","IgnitionTimingAngleOverall","IgnitionRetardCyl1","IgnitionRetardCyl2","IgnitionRetardCyl3","IgnitionRetardCyl4","AirFuelRatioDesired","AirFuelRatioCurrent","IntakeAirTemperature","MassAirFlowAtThrottlePlate","MassAirFlow"
    0.000, 3020.5    , 0         , 15.2941   , 48.9844   , 49.5      , 974.961   , 1045.51   , 690.273   , 974.961   , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 1.00171   , 7.5       , 27.5      , 27.7778   
    0.050, 3024.25   , 0         , 15.2941   , 48.8906   , 49.0781   , 974.961   , 1045.51   , 689.258   , 974.961   , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 1.00611   , 7.5       , 27.3889   , 27.0556   
    0.100, 3012.25   , 0         , 15.2941   , 49.0547   , 48.9844   , 974.961   , 1042.85   , 690.938   , 974.961   , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 1.00611   , 7.5       , 27.3889   , 27.4445   
    0.150, 3019.5    , 0         , 15.2941   , 48.9141   , 49.125    , 974.961   , 1042.85   , 689.414   , 974.961   , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 0.998537  , 7.5       , 27.4167   , 27.4722   
    0.200, 3017      , 0         , 15.2941   , 48.9844   , 49.2656   , 974.961   , 1042.85   , 690.156   , 974.961   , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 0.989992  , 7.5       , 27.4445   , 27.5      
    0.250, 3021.25   , 0         , 15.2941   , 48.8438   , 49.2188   , 974.961   , 1042.85   , 688.789   , 974.961   , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 0.991212  , 7.5       , 27.4167   , 27.3889   
    0.300, 3016.75   , 0         , 15.2941   , 48.9609   , 49.3125   , 974.961   , 1045.51   , 690.156   , 974.961   , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 0.988527  , 7.5       , 27.6945   , 27.9445   
    0.350, 3020.5    , 0         , 15.2941   , 48.7969   , 49.3125   , 974.961   , 1042.85   , 688.086   , 974.961   , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 0.989992  , 7.5       , 27.1389   , 27        
    0.400, 3015.25   , 0         , 15.2941   , 48.8438   , 49.3125   , 974.961   , 1042.85   , 688.438   , 974.961   , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 0.987306  , 7.5       , 27.4445   , 27.75     
    0.450, 3021.75   , 0         , 15.2941   , 48.5156   , 49.4063   , 974.961   , 1042.85   , 684.688   , 974.961   , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 0.992677  , 7.5       , 27.4445   , 27.1389   
    0.500, 3013.75   , 0         , 15.2941   , 48.5391   , 49.5234   , 974.961   , 1042.85   , 685.078   , 974.961   , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 1.00611   , 7.5       , 27.5      , 27.25     
    0.550, 3024      , 0         , 15.2941   , 48.5156   , 49.5      , 974.961   , 1042.85   , 684.766   , 974.961   , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 1.01319   , 7.5       , 27.3889   , 27.0834   
    0.600, 3015      , 0         , 15.2941   , 49.2188   , 49.4531   , 974.961   , 1040.23   , 692.773   , 974.961   , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 1.01319   , 7.5       , 27.3056   , 27.75     
    0.650, 3018      , 0         , 15.2941   , 49.0313   , 49.6406   , 974.961   , 1042.85   , 690.898   , 974.961   , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 1.01319   , 7.5       , 27.3334   , 27.3334   
    0.700, 3017.75   , 0         , 15.2941   , 49.0781   , 49.7578   , 974.961   , 1042.85   , 691.484   , 974.961   , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 1.00733   , 7.5       , 27.6111   , 27.3889   
    0.750, 3020.5    , 0         , 15.2941   , 48.9844   , 49.6641   , 974.961   , 1042.85   , 690.273   , 974.961   , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 0.997072  , 7.5       , 27.6111   , 27.0278   
    0.800, 3015.25   , 0         , 15.2941   , 49.0078   , 49.6172   , 974.961   , 1042.85   , 690.391   , 974.961   , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 0.991212  , 7.5       , 27.3056   , 27.2778   
    0.850, 3016.5    , 0         , 15.2941   , 49.1016   , 49.7344   , 974.961   , 1042.85   , 691.68    , 974.961   , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 0.987306  , 7.5       , 27.5834   , 27.6111   
    0.900, 3019.5    , 0         , 15.2941   , 49.0313   , 49.7578   , 974.961   , 1042.85   , 690.898   , 974.961   , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 0.989992  , 7.5       , 27.5834   , 27.3334   
    0.950, 3019.75   , 0         , 15.2941   , 49.1484   , 49.6875   , 974.961   , 1042.85   , 691.953   , 974.961   , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 0.986085  , 7.5       , 27.5556   , 27.4167   
    1.000, 3016.5    , 0         , 15.2941   , 49.3828   , 49.5938   , 974.961   , 1042.85   , 695.078   , 974.961   , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 0.987306  , 7.5       , 27.5556   , 28.0278   
    1.050, 3013.25   , 0         , 15.2941   , 49.6172   , 49.8516   , 974.961   , 1042.85   , 697.93    , 974.961   , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 0.989992  , 7.5       , 27.8611   , 28.3334   
    1.100, 3020.75   , 0         , 15.2941   , 49.6641   , 49.8516   , 974.961   , 1042.85   , 698.438   , 974.961   , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 0.995607  , 7.5       , 27.8334   , 27.5556   
    1.150, 3017      , 0         , 15.2941   , 49.5234   , 49.7813   , 974.961   , 1042.85   , 696.68    , 974.961   , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 1.00366   , 7.5       , 27.5556   , 28        
    1.200, 3017.5    , 0         , 15.2941   , 49.7109   , 49.875    , 974.961   , 1042.85   , 698.906   , 974.961   , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 1.00733   , 7.5       , 27.8334   , 27.9167   
    1.250, 3015      , 0         , 15.2941   , 49.4297   , 49.9688   , 974.961   , 1045.51   , 695.625   , 974.961   , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 1.01001   , 7.5       , 27.9722   , 27.6667   
    1.300, 3021.75   , 0         , 15.2941   , 49.3125   , 49.9219   , 975       , 1045.51   , 694.219   , 975       , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 1.00733   , 7.5       , 27.5556   , 27.3889   
    1.350, 3014.25   , 0         , 15.2941   , 49.3359   , 49.7578   , 975       , 1042.85   , 694.375   , 975       , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 1.00171   , 7.5       , 27.8611   , 27.6111   
    1.400, 3015.75   , 0         , 15.2941   , 49.4063   , 49.8281   , 975       , 1042.85   , 695.352   , 975       , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 0.992677  , 7.5       , 27.5556   , 27.6111   
    1.450, 3014.25   , 0         , 15.2941   , 49.3125   , 49.9219   , 975       , 1042.85   , 694.336   , 975       , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 0.991212  , 7.5       , 27.5556   , 27.4167   
    1.500, 3018.5    , 0         , 15.2941   , 49.2891   , 49.8516   , 975       , 1042.85   , 693.75    , 975       , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 0.989992  , 7.5       , 27.9722   , 27.25     
    1.550, 3014.25   , 0         , 15.2941   , 49.3828   , 49.875    , 975       , 1042.85   , 695.039   , 975       , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 0.989992  , 7.5       , 27.5556   , 28.1389   
    1.600, 3015.25   , 0         , 15.2941   , 49.4297   , 49.9688   , 975       , 1042.85   , 695.391   , 975       , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 0.988527  , 7.5       , 27.5556   , 28.3056   
    1.650, 3020      , 0         , 15.2941   , 49.6406   , 50.0625   , 975       , 1042.85   , 698.125   , 975       , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 0.997072  , 7.5       , 27.8334   , 28.6945   
    1.700, 3018.5    , 0         , 15.2941   , 49.7344   , 50.0859   , 975       , 1042.85   , 699.141   , 975       , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 1.00366   , 7.5       , 27.8334   , 28.1667   
    1.750, 3014.25   , 0         , 15.2941   , 49.7578   , 50.0859   , 975       , 1042.85   , 699.531   , 975       , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 1.00733   , 7.5       , 27.6111   , 27.6945   
    1.800, 3019      , 0         , 15.2941   , 49.6875   , 50.1094   , 975       , 1045.51   , 698.711   , 975       , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 1.00733   , 7.5       , 27.8334   , 27.75     
    1.850, 3019.75   , 0         , 15.2941   , 49.8984   , 50.0625   , 975       , 1042.85   , 701.172   , 975       , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 1.00611   , 7.5       , 27.8334   , 27.8611   
    1.900, 3019.25   , 0         , 15.2941   , 49.9922   , 49.9688   , 975       , 1042.85   , 702.07    , 975       , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 1.00488   , 7.5       , 27.9167   , 27.2222   
    1.950, 3015      , 0         , 15.6863   , 49.9688   , 50.1563   , 975       , 1042.85   , 702.188   , 975       , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 0.997072  , 7.5       , 28.1111   , 27.6667   
    2.000, 3021.75   , 0         , 15.2941   , 49.875    , 50.0625   , 975       , 1042.85   , 701.055   , 975       , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 0.984865  , 7.5       , 27.8611   , 27.8056   
    2.050, 3016.75   , 0         , 15.2941   , 49.9688   , 49.9219   , 975       , 1042.85   , 701.953   , 975       , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 0.983644  , 7.5       , 27.8611   , 28.2778   
    2.100, 3017      , 0         , 15.2941   , 50.0859   , 49.9453   , 975       , 1042.85   , 703.242   , 975       , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 0.984865  , 7.5       , 27.8611   , 28.5278   
    2.150, 3016.75   , 0         , 15.2941   , 49.8516   , 50.1563   , 975       , 1045.51   , 700.547   , 975       , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 0.988527  , 7.5       , 27.9722   , 27.9445   
    2.200, 3023.5    , 0         , 15.2941   , 49.6875   , 50.2031   , 975       , 1042.85   , 698.672   , 975       , 0         , 35.25     , 0         , 0         , 0         , 0         , 1         , 0.989992  , 7.5       , 27.9167   , 27.5278   
