
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 8E0909518AK_368072_NEF_STG_1_Tunedv7.ecu

ECU identified with following data:
HWNumber    = 0261208230       (requested was 0261208230)
SWNumber    = 1037368072       (requested was 1037368072)
PartNumber  = 8E0909518AK      (requested was 8E0909518AK)
SWVersion   = 0003             (requested was 0003)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 8E0909018A
ModelId     = G

Log packet size: 32 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  11.02.2026 01:48:36.876

TimeStamp, nmot_w    , wped_w    , wdkba     , rl_w      , rlsol_w   , plsol_w   , pvdkds_w  , ps_w      , pus_w     , ldtvm     , zwout     , dwkrz_0   , dwkrz_2   , dwkrz_3   , dwkrz_1   , lamsbg_w  , lamsoni_w , tans      , msdk_w    , mshfm_w   
  sec.ms , rpm       , PED     , DK      , , , mbar      , mbar      , mbar      , mbar      , , °KW       , °KW       , °KW       , °KW       , °KW       , -         , -         , °C        , g/s       , g/s       
"TIME","EngineSpeed","AccelPedalPosition","ThrottlePlateAngle","EngineLoad","EngineLoadRequested","BoostPressureDesired","BoostPressureActual","","BaroPressure","WastegateDutyCycle","IgnitionTimingAngleOverall","IgnitionRetardCyl1","IgnitionRetardCyl2","IgnitionRetardCyl3","IgnitionRetardCyl4","AirFuelRatioDesired","AirFuelRatioCurrent","IntakeAirTemperature","MassAirFlowAtThrottlePlate","MassAirFlow"
    0.000, 3323.25   , 29.4956   , 16.0784   , 54.375    , 44.6484   , 970.352   , 1137.97   , 757.227   , 970.352   , 0         , 33.75     , 0         , 0         , 0         , 0         , 1         , 0.973634  , 8.25      , 33.5834   , 32.8889   
    0.050, 3324      , 26.6178   , 13.3333   , 50.4375   , 37.9453   , 970.352   , 1145.9    , 711.758   , 970.352   , 0         , 34.5      , 0         , 0         , 0         , 0         , 1         , 0.967287  , 8.25      , 27.0556   , 27.5556   
    0.100, 3320.75   , 24.4602   , 11.7647   , 44.8828   , 33.3984   , 970.352   , 1135.31   , 646.797   , 970.352   , 0         , 36        , 0         , 0         , 0         , 0         , 1         , 0.948488  , 8.25      , 23.3611   , 22.3056   
    0.150, 3325      , 22.301    , 9.80392   , 38.7422   , 29.1797   , 970.352   , 1124.77   , 575.469   , 970.352   , 0         , 38.25     , 0         , 0         , 0         , 0         , 1         , 0.892335  , 8.25      , 19.2222   , 17.25     
    0.200, 3329.5    , 19.0646   , 8.62745   , 32.6953   , 25.0078   , 970.352   , 1116.84   , 505.156   , 970.352   , 0         , 39.75     , 0         , 0         , 0         , 0         , 1         , 0.842286  , 8.25      , 16.1945   , 14.6667   
    0.250, 3329.5    , 18.3444   , 7.84314   , 28.5234   , 24.5859   , 970.352   , 1106.25   , 456.367   , 970.352   , 0         , 40.5      , 0         , 0         , 0         , 0         , 1         , 0.793702  , 8.25      , 14.8056   , 12.1389   
    0.300, 3332.5    , 17.9858   , 7.84314   , 25.7109   , 24.1875   , 970.352   , 1093.05   , 423.633   , 970.352   , 0         , 39        , 0         , 0         , 0         , 0         , 1         , 0.753419  , 8.25      , 14.7222   , 13.4445   
    0.350, 3335      , 17.9858   , 8.2353    , 24.5859   , 23.7422   , 970.352   , 1082.5    , 410.313   , 970.352   , 0         , 39.75     , 0         , 0         , 0         , 0         , 1         , 0.729982  , 8.25      , 14.8056   , 12.5278   
    0.400, 3327.75   , 15.2865   , 8.2353    , 24        , 22.8047   , 970.352   , 1071.91   , 404.805   , 970.352   , 0         , 31.5      , 0         , 0         , 0         , 0         , 1         , 0.729982  , 8.25      , 15.0556   , 14.25     
    0.450, 3321.75   , 14.0276   , 8.2353    , 23.7422   , 21.3984   , 970.352   , 1063.98   , 401.641   , 970.352   , 0         , 24.75     , 0         , 0         , 0         , 0         , 1         , 0.729982  , 8.25      , 14.6667   , 13.0278   
    0.500, 3313.25   , 14.0276   , 7.84314   , 23.0391   , 20.4844   , 970.352   , 1061.37   , 391.953   , 970.352   , 0         , 22.5      , 0         , 0         , 0         , 0         , 1         , 0.729982  , 8.25      , 13.6111   , 12.3056   
    0.550, 3310.5    , 14.0276   , 7.45098   , 21.8906   , 19.9688   , 970.352   , 1056.05   , 378.32    , 970.352   , 0         , 20.25     , 0         , 0         , 0         , 0         , 1         , 0.729982  , 8.25      , 12.8333   , 12.1111   
    0.600, 3306.75   , 13.669    , 7.05883   , 23.4375   , 19.4297   , 970.352   , 1048.13   , 360.313   , 970.352   , 0         , 17.25     , 0         , 0         , 0         , 0         , 1         , 0.729982  , 8.25      , 12.4167   , 12.0556   
    0.650, 3294      , 13.3089   , 7.05883   , 21.7031   , 18.7969   , 970.352   , 1042.85   , 339.375   , 970.352   , 0         , 15        , 0         , 0         , 0         , 0         , 1         , 0.729982  , 8.25      , 12.2222   , 11.7778   
    0.700, 3279      , 12.05     , 6.66667   , 20.7891   , 18.2344   , 970.352   , 1042.85   , 320.195   , 970.352   , 0         , 15.75     , 0         , 0         , 0         , 0         , 1         , 0.729982  , 8.25      , 11.8333   , 10.3056   
    0.750, 3269.75   , 6.11428   , 6.66667   , 19.7578   , 17.0859   , 970.352   , 1037.58   , 307.891   , 970.352   , 0         , 15        , 0         , 0         , 0         , 0         , 1         , 0.729982  , 8.25      , 11.3333   , 10.0556   
    0.800, 3292.25   , 1.4374    , 6.66667   , 18.6563   , 15.8438   , 970.352   , 1032.3    , 295.586   , 970.352   , 0         , 6         , 0         , 0         , 0         , 0         , 1         , 0.729982  , 8.25      , 11.0278   , 10.4722   
    0.850, 3325.5    , 0         , 6.27451   , 17.9063   , 19.6875   , 970.352   , 1029.65   , 286.25    , 970.352   , 0         , 2.25      , 0         , 0         , 0         , 0         , 1         , 0.729982  , 8.25      , 10.3889   , 10        
    0.900, 3313      , 0         , 7.05883   , 17.2734   , 18.5625   , 970.352   , 1024.38   , 279.375   , 970.352   , 0         , 9.75      , 0         , 0         , 0         , 0         , 1         , 0.743165  , 8.25      , 11.5278   , 10.5556   
    0.950, 3286      , 0         , 7.05883   , 17.5078   , 17.4375   , 970.352   , 1024.38   , 282.07    , 970.352   , 0         , 16.5      , 0         , 0         , 0         , 0         , 1         , 0.776368  , 8.25      , 11.6389   , 10.6667   
    1.000, 3292.5    , 0         , 6.66667   , 17.5781   , 16.4766   , 970.352   , 1019.1    , 282.617   , 970.352   , 0         , 6         , 0         , 0         , 0         , 0         , 1         , 0.786622  , 8.25      , 11.1667   , 10.8611   
    1.050, 3302.75   , 0         , 6.27451   , 17.1563   , 15.6797   , 970.352   , 1016.45   , 277.5     , 970.352   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 0.807374  , 8.25      , 10.8611   , 9.94445   
    1.100, 3284.75   , 0         , 6.27451   , 16.7578   , 15.2109   , 970.352   , 1016.45   , 271.992   , 970.352   , 0         , 3.75      , 0         , 0         , 0         , 0         , 1         , 0.829347  , 8.25      , 10.2778   , 9.30556   
    1.150, 3271.75   , 0         , 5.88235   , 15.8906   , 14.6484   , 970.352   , 1013.79   , 261.367   , 970.352   , 0         , 3.75      , 0         , 0         , 0         , 0         , 1         , 0.840333  , 8.25      , 9.75001   , 8.69445   
    1.200, 3272.25   , 0         , 5.4902    , 15.0703   , 14.25     , 970.352   , 1011.17   , 251.641   , 970.352   , 0         , 3.75      , 0         , 0         , 0         , 0         , 1         , 0.845949  , 8.25      , 9.05556   , 8.91667   
    1.250, 3273.5    , 0         , 5.09804   , 14.4375   , 14.25     , 970.352   , 1011.17   , 244.102   , 970.352   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 0.867189  , 8.25      , 8.75001   , 8.47223   
    1.300, 3267.5    , 0         , 5.09804   , 14.0859   , 14.25     , 970.352   , 1011.17   , 239.531   , 970.352   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 0.941164  , 8.25      , 8.72223   , 8.50001   
    1.350, 3259      , 0         , 5.09804   , 13.9453   , 14.25     , 970.352   , 1008.52   , 237.695   , 970.352   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 1.01489   , 8.25      , 8.69445   , 8.77778   
    1.400, 3252.25   , 0         , 5.09804   , 13.7109   , 14.25     , 970.352   , 1008.52   , 234.57    , 970.352   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 1.06885   , 8.25      , 8.6389    , 8.44445   
    1.450, 3247      , 0         , 5.09804   , 13.7813   , 14.25     , 970.352   , 1005.86   , 234.883   , 970.352   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 1.12256   , 8.25      , 8.6389    , 8.22223   
    1.500, 3243.75   , 0         , 5.09804   , 13.8516   , 14.25     , 970.313   , 1005.86   , 235.703   , 970.313   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 1.13501   , 8.25      , 8.6389    , 8.3889    
    1.550, 3244.25   , 0         , 5.09804   , 13.7813   , 14.25     , 970.313   , 1003.24   , 234.922   , 970.313   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 1.16455   , 8.25      , 8.72223   , 8.47223   
    1.600, 3240      , 0         , 5.4902    , 13.7813   , 14.25     , 970.313   , 1003.24   , 235.117   , 970.313   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 1.17017   , 8.25      , 8.61112   , 8.52778   
    1.650, 3230.25   , 0         , 5.4902    , 13.8281   , 14.25     , 970.313   , 1003.24   , 235.352   , 970.313   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 1.16187   , 8.25      , 8.61112   , 8.47223   
    1.700, 3223.5    , 0         , 5.4902    , 13.8047   , 14.25     , 970.313   , 1003.24   , 235.117   , 970.313   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 1.13501   , 8.25      , 8.86112   , 8.30556   
    1.750, 3223      , 0         , 5.09804   , 13.9219   , 14.25     , 970.313   , 1000.59   , 236.523   , 970.313   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 1.13745   , 8.25      , 8.52778   , 8.58334   
    1.800, 3215.75   , 0         , 5.09804   , 13.9219   , 14.25     , 970.313   , 1000.59   , 235.977   , 970.313   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 1.14282   , 8.25      , 8.55556   , 8.22223   
    1.850, 3226      , 0         , 5.09804   , 13.875    , 14.25     , 970.313   , 1000.59   , 235.742   , 970.313   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 1.13745   , 8.25      , 8.58334   , 8.36112   
    1.900, 3193      , 0         , 5.09804   , 13.7578   , 14.25     , 970.313   , 997.969   , 234.453   , 970.313   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 0.963625  , 8.25      , 8.58334   , 7.75001   
    1.950, 3194.75   , 0         , 5.09804   , 13.7813   , 14.25     , 970.313   , 997.969   , 233.594   , 970.313   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 0.864259  , 8.25      , 8.61112   , 8.50001   
    2.000, 3206.75   , 0         , 5.09804   , 13.7578   , 14.25     , 970.313   , 997.969   , 233.32    , 970.313   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 1.08765   , 8.25      , 8.50001   , 8.25001   
    2.050, 3193      , 0         , 5.09804   , 13.7578   , 14.25     , 970.313   , 997.969   , 233.75    , 970.313   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 1.81104   , 8.25      , 8.50001   , 8.41667   
    2.100, 3176.25   , 0         , 5.4902    , 13.9688   , 14.25     , 970.313   , 997.969   , 235.234   , 970.313   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 2.65992   , 8.25      , 8.47223   , 8.66667   
    2.150, 3183.5    , 0         , 5.4902    , 13.8281   , 14.25     , 970.313   , 997.969   , 233.906   , 970.313   , 0         , 4.5       , 0         , 0         , 0         , 0         , 1.04688   , 3.65381   , 8.25      , 8.58334   , 8.47223   
