
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 8E0909518AK_368072_NEF_STG_1_Tunedv7.ecu

ECU identified with following data:
HWNumber    = 0261208230       (requested was 0261208230)
SWNumber    = 1037368072       (requested was 1037368072)
PartNumber  = 8E0909518AK      (requested was 8E0909518AK)
SWVersion   = 0003             (requested was 0003)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 8E0909018A
ModelId     = G

Log packet size: 34 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  14.02.2026 12:21:19.202

TimeStamp, nmot_w    , wped_w    , wdkba     , rl_w      , rlsol_w   , plsol_w   , pvdkds_w  , ps_w      , pus_w     , ldtvr_w   , ldtvm     , zwout     , dwkrz_0   , dwkrz_2   , dwkrz_3   , dwkrz_1   , lamsbg_w  , lamsoni_w , tans      , msdk_w    , mshfm_w   
  sec.ms , rpm       , PED     , DK      , , , mbar      , mbar      , mbar      , mbar      , , , °KW       , °KW       , °KW       , °KW       , °KW       , -         , -         , °C        , g/s       , g/s       
"TIME","EngineSpeed","AccelPedalPosition","ThrottlePlateAngle","EngineLoad","EngineLoadRequested","BoostPressureDesired","BoostPressureActual","","BaroPressure","WastegateDutyCycleBeforeLin","WastegateDutyCycle","IgnitionTimingAngleOverall","IgnitionRetardCyl1","IgnitionRetardCyl2","IgnitionRetardCyl3","IgnitionRetardCyl4","AirFuelRatioDesired","AirFuelRatioCurrent","IntakeAirTemperature","MassAirFlowAtThrottlePlate","MassAirFlow"
    0.000, 2455.5    , 0         , 3.52941   , 13.875    , 14.25     , 985.078   , 1013.79   , 228.32    , 985.078   , 0         , 0         , 3         , 0         , 0         , 0         , 0         , 1.04688   , 0.936525  , 7.5       , 6.55556   , 6.47223   
    0.050, 2473.75   , 0         , 3.52941   , 13.8516   , 14.25     , 985.078   , 1013.79   , 227.969   , 985.078   , 0         , 0         , 3         , 0         , 0         , 0         , 0         , 1.04688   , 0.997072  , 7.5       , 6.52778   , 6.44445   
    0.100, 2456.5    , 0         , 3.52941   , 13.7813   , 14.25     , 985.078   , 1011.17   , 227.188   , 985.078   , 0         , 0         , 3         , 0         , 0         , 0         , 0         , 1.04688   , 1.21753   , 7.5       , 6.47223   , 6.30556   
    0.150, 2439      , 0         , 3.52941   , 13.7109   , 14.25     , 985.078   , 1011.17   , 226.172   , 985.078   , 0         , 0         , 3         , 0         , 0         , 0         , 0         , 1.04688   , 1.573     , 7.5       , 6.50001   , 6.27778   
    0.200, 2438      , 0         , 3.52941   , 13.7344   , 14.25     , 985.078   , 1011.17   , 226.211   , 985.078   , 0         , 0         , 3         , 0         , 0         , 0         , 0         , 1.04688   , 2.08911   , 7.5       , 6.52778   , 6.19445   
    0.250, 2436      , 0         , 3.52941   , 13.8516   , 14.25     , 985.078   , 1008.52   , 227.422   , 985.078   , 0         , 0         , 3         , 0         , 0         , 0         , 0         , 1.04688   , 2.60645   , 7.5       , 6.52778   , 6.75001   
    0.300, 2421.5    , 0         , 3.52941   , 13.9219   , 14.25     , 985.078   , 1008.52   , 228.32    , 985.078   , 0         , 0         , 3         , 0         , 0         , 0         , 0         , 1.04688   , 3.3667    , 7.5       , 6.47223   , 6.44445   
    0.350, 2422      , 0         , 3.52941   , 13.9688   , 14.25     , 985.078   , 1008.52   , 228.828   , 985.078   , 0         , 0         , 3         , 0         , 0         , 0         , 0         , 1.04688   , 4.03321   , 7.5       , 6.47223   , 6.55556   
