
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 8E0909518AK_368072_NEF_STG_1_Tunedv7.ecu

ECU identified with following data:
HWNumber    = 0261208230       (requested was 0261208230)
SWNumber    = 1037368072       (requested was 1037368072)
PartNumber  = 8E0909518AK      (requested was 8E0909518AK)
SWVersion   = 0003             (requested was 0003)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 8E0909018A
ModelId     = G

Log packet size: 34 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  14.02.2026 13:15:46.423

TimeStamp, nmot_w    , wped_w    , wdkba     , rl_w      , rlsol_w   , plsol_w   , pvdkds_w  , ps_w      , pus_w     , ldtvr_w   , ldtvm     , zwout     , dwkrz_0   , dwkrz_2   , dwkrz_3   , dwkrz_1   , lamsbg_w  , lamsoni_w , tans      , msdk_w    , mshfm_w   
  sec.ms , rpm       , PED     , DK      , , , mbar      , mbar      , mbar      , mbar      , , , °KW       , °KW       , °KW       , °KW       , °KW       , -         , -         , °C        , g/s       , g/s       
"TIME","EngineSpeed","AccelPedalPosition","ThrottlePlateAngle","EngineLoad","EngineLoadRequested","BoostPressureDesired","BoostPressureActual","","BaroPressure","WastegateDutyCycleBeforeLin","WastegateDutyCycle","IgnitionTimingAngleOverall","IgnitionRetardCyl1","IgnitionRetardCyl2","IgnitionRetardCyl3","IgnitionRetardCyl4","AirFuelRatioDesired","AirFuelRatioCurrent","IntakeAirTemperature","MassAirFlowAtThrottlePlate","MassAirFlow"
    0.000, 1906      , 0         , 2.7451    , 14.8828   , 13.5      , 985.078   , 1005.86   , 241.719   , 985.078   , 0         , 0         , 1.5       , 0         , 0         , 0         , 0         , 1         , 0.833986  , 18        , 5.27778   , 5.52778   
    0.050, 1864.5    , 0         , 2.7451    , 14.7891   , 13.5      , 985.078   , 1003.24   , 240.391   , 985.078   , 0         , 0         , 0.75      , 0         , 0         , 0         , 0         , 1         , 0.844972  , 18        , 5.13889   , 5.38889   
    0.100, 1807.25   , 0         , 2.35294   , 14.4609   , 13.5      , 985.078   , 1003.24   , 236.094   , 985.078   , 0         , 0         , 0.75      , 0         , 0         , 0         , 0         , 1         , 0.847658  , 18        , 4.72223   , 4.75      
    0.150, 1756.75   , 0         , 2.35294   , 14.2734   , 13.5      , 985.078   , 1003.24   , 233.477   , 985.078   , 0         , 0         , 0.75      , 0         , 0         , 0         , 0         , 1         , 0.832033  , 18        , 4.63889   , 4.72223   
    0.200, 1691.75   , 4.31525   , 2.35294   , 14.1563   , 13.5      , 985.078   , 1000.59   , 231.914   , 985.078   , 0         , 0         , 6         , 0         , 0         , 0         , 0         , 1         , 0.813722  , 18        , 4.5       , 4.41667   
    0.250, 1632.25   , 7.19309   , 1.96079   , 14.1094   , 13.5      , 985.078   , 1000.59   , 231.367   , 985.078   , 0         , 0         , 9         , 0         , 0         , 0         , 0         , 1         , 0.816408  , 18        , 4.38889   , 4.66667   
    0.300, 1588.75   , 8.99213   , 1.96079   , 13.9922   , 15.3516   , 985.078   , 1000.59   , 230.352   , 985.078   , 0         , 0         , 14.25     , 0         , 0         , 0         , 0         , 1         , 0.858888  , 18        , 4.19445   , 4.33334   
    0.350, 1523.25   , 12.2301   , 1.96079   , 14.0625   , 19.7578   , 985.078   , 1000.59   , 231.016   , 985.078   , 0         , 0         , 24.75     , 0         , 0         , 0         , 0         , 1         , 0.856935  , 18        , 4.25      , 4.13889   
