
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 8E0909518AK_368072_NEF_STG_1_Tunedv7.ecu

ECU identified with following data:
HWNumber    = 0261208230       (requested was 0261208230)
SWNumber    = 1037368072       (requested was 1037368072)
PartNumber  = 8E0909518AK      (requested was 8E0909518AK)
SWVersion   = 0003             (requested was 0003)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 8E0909018A
ModelId     = G

Log packet size: 34 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  14.02.2026 13:40:06.500

TimeStamp, nmot_w    , wped_w    , wdkba     , rl_w      , rlsol_w   , plsol_w   , pvdkds_w  , ps_w      , pus_w     , ldtvr_w   , ldtvm     , zwout     , dwkrz_0   , dwkrz_2   , dwkrz_3   , dwkrz_1   , lamsbg_w  , lamsoni_w , tans      , msdk_w    , mshfm_w   
  sec.ms , rpm       , PED     , DK      , , , mbar      , mbar      , mbar      , mbar      , , , °KW       , °KW       , °KW       , °KW       , °KW       , -         , -         , °C        , g/s       , g/s       
"TIME","EngineSpeed","AccelPedalPosition","ThrottlePlateAngle","EngineLoad","EngineLoadRequested","BoostPressureDesired","BoostPressureActual","","BaroPressure","WastegateDutyCycleBeforeLin","WastegateDutyCycle","IgnitionTimingAngleOverall","IgnitionRetardCyl1","IgnitionRetardCyl2","IgnitionRetardCyl3","IgnitionRetardCyl4","AirFuelRatioDesired","AirFuelRatioCurrent","IntakeAirTemperature","MassAirFlowAtThrottlePlate","MassAirFlow"
    0.000, 2453.75   , 7.91332   , 4.31373   , 14.2969   , 14.25     , 985.273   , 1000.59   , 241.406   , 985.273   , 0         , 0         , 6         , 0         , 0         , 0         , 0         , 0.968751  , 0.967287  , 15.75     , 6.63889   , 6.75001   
    0.050, 2429.5    , 7.91332   , 4.31373   , 14.3438   , 14.25     , 985.273   , 1000.59   , 241.406   , 985.273   , 0         , 0         , 5.25      , 0         , 0         , 0         , 0         , 0.968751  , 0.912111  , 15.75     , 6.63889   , 6.55556   
    0.100, 2417.75   , 7.91332   , 3.92157   , 14.3672   , 14.25     , 985.273   , 1000.59   , 241.68    , 985.273   , 0         , 0         , 5.25      , 0         , 0         , 0         , 0         , 0.968751  , 0.883546  , 15.75     , 6.55556   , 6.41667   
    0.150, 2401.5    , 7.91332   , 3.92157   , 14.4375   , 14.25     , 985.273   , 1000.59   , 242.383   , 985.273   , 0         , 0         , 5.25      , 0         , 0         , 0         , 0         , 0.968751  , 0.894533  , 15.75     , 6.55556   , 6.41667   
    0.200, 2384.25   , 7.91332   , 3.92157   , 14.5078   , 14.25     , 985.273   , 997.969   , 243.086   , 985.273   , 0         , 0         , 6         , 0         , 0         , 0         , 0         , 0.968751  , 0.933107  , 15.75     , 6.50001   , 6.52778   
    0.250, 2376.25   , 7.91332   , 3.92157   , 14.7422   , 14.25     , 985.273   , 997.969   , 245.938   , 985.273   , 0         , 0         , 5.25      , 0         , 0         , 0         , 0         , 0.968751  , 0.916505  , 15.75     , 6.50001   , 6.97223   
    0.300, 2397.5    , 7.55321   , 3.92157   , 14.6484   , 14.25     , 985.273   , 1000.59   , 244.766   , 985.273   , 0         , 0         , 3         , 0         , 0         , 0         , 0         , 0.968751  , 0.912111  , 15.75     , 6.41667   , 6.55556   
    0.350, 2388.5    , 7.19309   , 3.92157   , 14.4844   , 14.25     , 985.273   , 1000.59   , 242.578   , 985.273   , 0         , 0         , 6         , 0         , 0         , 0         , 0         , 0.968751  , 0.924318  , 15.75     , 6.38889   , 6.52778   
