
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 8E0909518AK_368072_NEF_STG_1_Tunedv7.ecu

ECU identified with following data:
HWNumber    = 0261208230       (requested was 0261208230)
SWNumber    = 1037368072       (requested was 1037368072)
PartNumber  = 8E0909518AK      (requested was 8E0909518AK)
SWVersion   = 0003             (requested was 0003)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 8E0909018A
ModelId     = G

Log packet size: 40 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  04.02.2026 18:38:20.657

TimeStamp, fr_w      , fra_w     , lamsbg_w  , ldtvm     , msdk_w    , mshfm_w   , nmot_w    , plsol_w   , ps_w      , pus_w     , pvdkds_w  , rkat_w    , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , ti_b1     , vfil_w    , wdkba     , wped_w    , zwout     
  sec.ms , -         , -         , -         , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , , , , , , °C        , ms        , km/h      , DK      , PED     , °KW       
"TIME","LambdaControl","AdaptationPartial","AirFuelRatioDesired","WastegateDutyCycle","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","","BaroPressure","BoostPressureActual","AdaptationIdle","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","FuelInjectorOnTime","VehicleSpeed","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall"
    0.000, 1         , 0.99997   , 0.976564  , 0         , 5.63889   , 5.72223   , 829       , 989.922   , 459.961   , 989.922   , 984.727   , 0         , 35.6016   , 90.75     , 90.75     , 35.8125   , 305       , 3.244     , 0         , 3.13726   , 0         , 6         
    0.050, 1         , 0.99997   , 0.976564  , 0         , 5.61112   , 5.38889   , 826.5     , 989.922   , 457.93    , 989.922   , 984.727   , 0         , 35.4375   , 90.6797   , 90.75     , 35.8125   , 305       , 3.144     , 0         , 3.13726   , 0         , 6.75      
    0.100, 1         , 0.99997   , 0.976564  , 0         , 5.63889   , 5.5       , 828.75    , 989.922   , 456.953   , 989.922   , 984.727   , 0         , 35.3438   , 90.75     , 90.75     , 35.8828   , 305       , 3.116     , 0         , 3.13726   , 0         , 6.75      
    0.150, 1         , 0.99997   , 0.976564  , 0         , 5.63889   , 5.55556   , 836.25    , 989.922   , 457.109   , 989.922   , 984.727   , 0         , 35.3672   , 90.6797   , 90.75     , 35.7656   , 305       , 3.156     , 0         , 3.13726   , 0         , 6         
    0.200, 1         , 0.99997   , 0.976564  , 0         , 5.55556   , 5.55556   , 840.25    , 989.922   , 456.094   , 989.922   , 984.727   , 0         , 35.2969   , 90.75     , 90.75     , 35.5078   , 305       , 3.132     , 0         , 3.13726   , 0         , 4.5       
    0.250, 1         , 0.99997   , 0.976564  , 0         , 5.61112   , 5.5       , 829       , 989.922   , 458.867   , 989.922   , 984.727   , 0         , 35.5547   , 90.75     , 90.75     , 35.3672   , 305       , 3.224     , 0         , 3.13726   , 0         , 4.5       
    0.300, 1         , 0.99997   , 0.976564  , 0         , 5.55556   , 5.58334   , 823.5     , 989.922   , 458.789   , 989.922   , 984.727   , 0         , 35.5078   , 90.7969   , 90.75     , 35.7188   , 305       , 3.22      , 0         , 3.13726   , 0         , 6         
    0.350, 1         , 0.99997   , 0.976564  , 0         , 5.55556   , 5.27778   , 819.5     , 989.922   , 456.445   , 989.922   , 984.727   , 0         , 35.2734   , 90.7266   , 90.75     , 35.9297   , 305       , 3.124     , 0         , 3.13726   , 0         , 7.5       
