
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 8E0909518AK_368072_NEF_STG_1_Tunedv7.ecu

ECU identified with following data:
HWNumber    = 0261208230       (requested was 0261208230)
SWNumber    = 1037368072       (requested was 1037368072)
PartNumber  = 8E0909518AK      (requested was 8E0909518AK)
SWVersion   = 0003             (requested was 0003)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 8E0909018A
ModelId     = G

Log packet size: 41 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  04.02.2026 01:49:35.056

TimeStamp, fr_w      , gangi     , lamsbg_w  , ldtvm     , mshfm_w   , nmot_w    , plsol_w   , pus_w     , pvdkds_w  , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , ti_b1     , vfil_w    , wdkba     , wped_w    , zwout     
  sec.ms , -         , gear      , -         , , g/s       , rpm       , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , ms        , km/h      , DK      , PED     , °KW       
"TIME","LambdaControl","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","MassAirFlow","EngineSpeed","BoostPressureDesired","BaroPressure","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl4","KnockVoltageCyl2","KnockVoltageCyl3","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","FuelInjectorOnTime","VehicleSpeed","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall"
    0.000, 1         , 0         , 0.851808  , 0         , 11.5556   , 1260      , 985.078   , 985.078   , 990.039   , 0.937502  , 0.820315  , 0.625002  , 1.13282   , 48.0703   , 100.781   , 100.758   , 48.2109   , 120       , 4.452     , 0         , 7.84314   , 0         , -9        
    0.050, 1         , 0         , 0.851808  , 0         , 11.5278   , 1262.25   , 985.078   , 985.078   , 990.039   , 0.976565  , 0.820315  , 0.60547   , 1.09375   , 48.0234   , 100.758   , 100.852   , 48.1641   , 120       , 4.484     , 0         , 7.84314   , 0         , -9        
    0.100, 1         , 0         , 0.851808  , 0         , 11.5556   , 1266.75   , 985.078   , 985.078   , 990.039   , 0.976565  , 0.820315  , 0.60547   , 1.09375   , 48.0938   , 100.852   , 101.016   , 48.0234   , 125       , 4.484     , 0         , 7.84314   , 0         , -9        
    0.150, 1         , 0         , 0.851808  , 0         , 11.5      , 1270.75   , 985.078   , 985.078   , 990.039   , 0.976565  , 0.742189  , 0.625002  , 1.05469   , 48.0234   , 101.016   , 101.18    , 47.7891   , 125       , 4.464     , 0         , 7.84314   , 0         , -9        
    0.200, 1         , 0         , 0.851808  , 0         , 11.75     , 1272.75   , 985.078   , 985.078   , 990.039   , 0.976565  , 0.742189  , 0.625002  , 1.05469   , 48.0703   , 101.18    , 101.297   , 47.6484   , 125       , 4.464     , 0         , 7.45098   , 0         , -9.75     
    0.250, 1         , 0         , 0.851808  , 0         , 11.7778   , 1260.5    , 985.078   , 985.078   , 990.039   , 0.937502  , 0.781252  , 0.644533  , 1.01563   , 48.2109   , 101.25    , 100.781   , 47.6016   , 125       , 4.548     , 0         , 7.84314   , 0         , -9        
    0.300, 1         , 0         , 0.851808  , 0         , 11.6389   , 1258.25   , 985.078   , 985.078   , 992.656   , 0.937502  , 0.781252  , 0.644533  , 1.01563   , 48.1875   , 100.758   , 100.688   , 47.7891   , 130       , 4.476     , 0         , 7.45098   , 0         , -9        
    0.350, 1         , 0         , 0.851808  , 0         , 11.5556   , 1254.25   , 985.078   , 985.078   , 990.039   , 0.976565  , 0.820315  , 0.625002  , 1.05469   , 48.2813   , 100.664   , 100.523   , 47.7891   , 130       , 4.528     , 0         , 7.45098   , 0         , -9        
