
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 8E0909518AK_368072_NEF_STG_1_Tunedv7.ecu

ECU identified with following data:
HWNumber    = 0261208230       (requested was 0261208230)
SWNumber    = 1037368072       (requested was 1037368072)
PartNumber  = 8E0909518AK      (requested was 8E0909518AK)
SWVersion   = 0003             (requested was 0003)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 8E0909018A
ModelId     = G

Log packet size: 44 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  10.02.2026 09:59:52.819

TimeStamp, fr_w      , fra_w     , lamsbg_w  , lamsoni_w , ldrlts_w  , ldtvm     , msdk_w    , mshfm_w   , nmot_w    , plsol_w   , ps_w      , pus_w     , pvdkds_w  , rkat_w    , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , ti_b1     , vfil_w    , wdkba     , wped_w    , zwout     
  sec.ms , -         , -         , -         , -         , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , , , , , , °C        , ms        , km/h      , DK      , PED     , °KW       
"TIME","LambdaControl","AdaptationPartial","AirFuelRatioDesired","AirFuelRatioCurrent","ChargeLimitTurboProtection","WastegateDutyCycle","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","","BaroPressure","BoostPressureActual","AdaptationIdle","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","FuelInjectorOnTime","VehicleSpeed","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall"
    0.000, 0.944611  , 0.934479  , 1         , 0.863283  , 172.313   , 0         , 15.0278   , 14.7778   , 3081.75   , 985.078   , 364.375   , 985.078   , 992.656   , -0.5625   , 25.2891   , 138.375   , 132.375   , 26.1563   , 605       , 2.272     , 24.4531   , 9.41177   , 20.3235   , 39.75     
    0.050, 0.923737  , 0.934479  , 1         , 0.852296  , 172.313   , 0         , 15        , 14.9722   , 3081      , 985.078   , 366.211   , 985.078   , 995.313   , -0.5625   , 25.4531   , 138.281   , 132.281   , 26.2031   , 605       , 2.244     , 24.4297   , 9.41177   , 20.3235   , 39.75     
    0.100, 0.900971  , 0.934479  , 1         , 0.85132   , 172.313   , 0         , 15.1667   , 14.9445   , 3081      , 985.078   , 367.344   , 985.078   , 992.656   , -0.5625   , 25.5469   , 138.211   , 132.328   , 26.1797   , 605       , 2.232     , 24.4063   , 9.41177   , 20.3235   , 39.75     
    0.150, 0.880555  , 0.934479  , 1         , 0.857911  , 172.313   , 0         , 15.2778   , 15.4167   , 3087      , 985.078   , 370.273   , 985.078   , 992.656   , -0.5625   , 25.7813   , 138.258   , 132.352   , 26.1563   , 605       , 2.236     , 24.3984   , 9.41177   , 20.3235   , 39.75     
    0.200, 0.862397  , 0.934479  , 1         , 0.864259  , 172.313   , 0         , 15.3056   , 15.6389   , 3089.75   , 985.078   , 375.078   , 985.078   , 992.656   , -0.5625   , 26.1797   , 138.281   , 132.445   , 26.1563   , 605       , 2.228     , 24.3828   , 9.80392   , 20.3235   , 39.75     
    0.250, 0.847901  , 0.934479  , 1         , 0.876222  , 172.313   , 0         , 15.3611   , 15.5      , 3084.5    , 985.078   , 375.859   , 985.078   , 995.313   , -0.5625   , 26.25     , 138.328   , 132.398   , 26.1563   , 605       , 2.192     , 24.375    , 9.41177   , 20.3235   , 39.75     
    0.300, 0.834015  , 0.934479  , 1         , 0.883546  , 172.313   , 0         , 15.3333   , 15.1389   , 3081.5    , 985.078   , 375.703   , 985.078   , 992.656   , -0.5625   , 26.25     , 138.305   , 132.352   , 26.1563   , 605       , 2.172     , 24.3594   , 9.41177   , 20.3235   , 39.75     
    0.350, 0.822663  , 0.934479  , 1         , 0.892335  , 172.313   , 0         , 15.3333   , 15.6111   , 3074.25   , 985.078   , 375.352   , 985.078   , 992.656   , -0.5625   , 26.2266   , 138.234   , 132.234   , 26.1797   , 605       , 2.172     , 24.3359   , 9.41177   , 20.3235   , 39.75     
    0.400, 0.993317  , 0.934479  , 1         , 0.902345  , 172.313   , 0         , 15.3333   , 15.5      , 3080      , 985.078   , 374.688   , 985.078   , 992.656   , -0.5625   , 26.1797   , 138.141   , 132.258   , 26.1797   , 605       , 2.364     , 24.3359   , 9.41177   , 20.3235   , 39.75     
    0.450, 0.987336  , 0.934479  , 1         , 0.912111  , 172.289   , 0         , 15.25     , 15.1389   , 3084.5    , 985.078   , 373.125   , 985.078   , 995.313   , -0.5625   , 26.0156   , 138.164   , 132.375   , 26.1563   , 605       , 2.324     , 24.3359   , 9.41177   , 20.3235   , 39.75     
    0.500, 0.974793  , 0.934479  , 1         , 0.908937  , 172.313   , 0         , 15.1945   , 15.1945   , 3088.75   , 985.078   , 371.758   , 985.078   , 992.656   , -0.5625   , 25.8984   , 138.258   , 132.398   , 26.1328   , 605       , 2.32      , 24.3281   , 9.41177   , 20.3235   , 39.75     
    0.550, 0.955476  , 0.934479  , 1         , 0.878175  , 172.313   , 0         , 15.1945   , 14.9445   , 3082.25   , 985.078   , 368.945   , 985.078   , 992.656   , -0.5625   , 25.6641   , 138.281   , 132.398   , 26.1328   , 605       , 2.284     , 24.3203   , 9.41177   , 20.3235   , 39.75     
    0.600, 0.93567   , 0.934479  , 1         , 0.860597  , 172.313   , 0         , 15.1945   , 15.2222   , 3076.25   , 985.078   , 369.102   , 985.078   , 992.656   , -0.5625   , 25.7109   , 138.258   , 132.258   , 26.1797   , 605       , 2.276     , 24.3125   , 9.41177   , 20.3235   , 39.75     
    0.650, 0.914765  , 0.934479  , 1         , 0.860597  , 172.289   , 0         , 15.1945   , 14.9167   , 3075.75   , 985.078   , 370.469   , 985.078   , 992.656   , -0.5625   , 25.8281   , 138.164   , 132.234   , 26.1797   , 605       , 2.24      , 24.3047   , 9.41177   , 20.3235   , 39.75     
    0.700, 0.89383   , 0.934479  , 1         , 0.863283  , 172.289   , 0         , 15.1389   , 15.2778   , 3078      , 985.078   , 371.484   , 985.078   , 992.656   , -0.5625   , 25.9219   , 138.117   , 132.281   , 26.1797   , 605       , 2.232     , 24.3047   , 9.41177   , 20.3235   , 39.75     
    0.750, 0.875428  , 0.934479  , 1         , 0.866212  , 172.313   , 0         , 15.1945   , 15.0556   , 3087.25   , 985.078   , 369.844   , 985.078   , 992.656   , -0.5625   , 25.7578   , 138.188   , 132.375   , 27.8438   , 605       , 2.196     , 24.3047   , 9.41177   , 21.4023   , 39.75     
    0.800, 0.858979  , 0.934479  , 1         , 0.871583  , 172.313   , 0         , 15.6389   , 15.3889   , 3087.25   , 985.078   , 368.672   , 985.078   , 992.656   , -0.5625   , 25.6406   , 138.258   , 132.422   , 29.9063   , 605       , 2.188     , 24.3047   , 9.80392   , 22.4811   , 39.75     
    0.850, 0.844697  , 0.934479  , 1         , 0.878175  , 172.313   , 0         , 17.8333   , 16.8333   , 3086.25   , 985.078   , 380.195   , 985.078   , 990.039   , -0.5625   , 26.625    , 138.281   , 132.375   , 41.9063   , 605       , 2.276     , 24.2969   , 10.9804   , 28.2368   , 39.75     
    0.900, 0.833924  , 0.934479  , 1         , 0.891115  , 172.313   , 0         , 24.6111   , 24.6111   , 3088      , 985.078   , 437.695   , 985.078   , 976.836   , -0.5625   , 31.4063   , 138.281   , 132.422   , 63.5625   , 605       , 2.752     , 24.2656   , 15.2941   , 37.4105   , 39        
    0.950, 1         , 0.934479  , 1         , 0.929933  , 172.336   , 7.03125   , 40.6111   , 39.1945   , 3124      , 1053.4    , 607.461   , 985.078   , 955.703   , -0.5625   , 45.5625   , 138.352   , 132.656   , 78.4453   , 605       , 4.076     , 24.2891   , 21.5686   , 44.245    , 33        
    1.000, 1         , 0.934479  , 1         , 0.967287  , 172.828   , 58.9844   , 44.1667   , 42.2778   , 3193      , 1145.9    , 745.352   , 985.078   , 958.32    , -0.5625   , 57.1172   , 139.078   , 133.641   , 85.9453   , 605       , 4.472     , 24.3047   , 24.7059   , 47.6615   , 21        
    1.050, 1         , 0.934479  , 1         , 0.85962   , 172.875   , 53.125    , 42.2223   , 43.7223   , 3234.75   , 1176.84   , 815.938   , 985.078   , 960.977   , -0.5625   , 62.9297   , 139.617   , 134.414   , 88.3359   , 605       , 4.588     , 24.3281   , 26.6667   , 48.7403   , 25.5      
    1.100, 1         , 0.934479  , 1         , 0.884523  , 172.875   , 41.4063   , 39.1389   , 45.1945   , 3240      , 1184.3    , 868.633   , 985.078   , 963.594   , -0.5625   , 67.3594   , 140.227   , 134.508   , 88.9219   , 605       , 4.768     , 24.3828   , 27.8431   , 48.7403   , 26.25     
    1.150, 1         , 0.934479  , 1         , 0.952394  , 172.898   , 47.2656   , 41.6111   , 46.6945   , 3232.25   , 1188.91   , 895.469   , 985.078   , 968.906   , -0.5625   , 69.6328   , 140.461   , 134.414   , 89.3203   , 605       , 4.892     , 24.4922   , 29.4118   , 48.7403   , 25.5      
    1.200, 1         , 0.934479  , 1         , 0.962404  , 172.898   , 41.4063   , 42.8334   , 47.8056   , 3252      , 1189.26   , 924.063   , 985.078   , 974.18    , -0.5625   , 72.0234   , 140.508   , 134.578   , 89.3672   , 605       , 4.996     , 24.6172   , 31.7647   , 48.7403   , 25.5      
    1.250, 1         , 0.934479  , 1         , 0.956056  , 172.945   , 41.0156   , 47.75     , 48.4167   , 3333.5    , 1179.38   , 945.43    , 985.078   , 984.727   , -0.5625   , 73.8047   , 140.766   , 135.328   , 88.5703   , 605       , 5.028     , 24.8281   , 32.9412   , 48.7403   , 24.75     
    1.300, 1         , 0.934479  , 1         , 0.933107  , 174.305   , 36.7188   , 47.8889   , 50.5      , 3411      , 1175.35   , 960.234   , 985.078   , 997.969   , -0.5625   , 74.9766   , 141.539   , 136.547   , 88.1953   , 605       , 5.08      , 25        , 33.7255   , 48.7403   , 12        
    1.350, 1         , 0.934479  , 1         , 0.952394  , 174.352   , 33.9844   , 48.6111   , 52.9723   , 3455.75   , 1167.27   , 975.977   , 985.078   , 1005.86   , -0.5625   , 76.2422   , 142.617   , 137.297   , 87.5156   , 610       , 5.096     , 25.2813   , 34.902    , 48.3817   , 12        
    1.400, 1         , 0.934479  , 1         , 0.949953  , 174.352   , 30.4688   , 50.3889   , 53.9445   , 3493      , 1160.74   , 990.391   , 985.078   , 1021.72   , -0.5625   , 77.4375   , 143.484   , 137.766   , 86.9766   , 610       , 5.132     , 25.4766   , 34.902    , 48.0216   , 17.25     
