
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 8E0909518AK_368072_NEF_STG_1_Tunedv7.ecu

ECU identified with following data:
HWNumber    = 0261208230       (requested was 0261208230)
SWNumber    = 1037368072       (requested was 1037368072)
PartNumber  = 8E0909518AK      (requested was 8E0909518AK)
SWVersion   = 0003             (requested was 0003)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 8E0909018A
ModelId     = G

Log packet size: 44 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  08.02.2026 15:03:10.319

TimeStamp, fr_w      , fra_w     , lamsbg_w  , lamsoni_w , ldrlts_w  , ldtvm     , msdk_w    , mshfm_w   , nmot_w    , plsol_w   , ps_w      , pus_w     , pvdkds_w  , rkat_w    , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , ti_b1     , vfil_w    , wdkba     , wped_w    , zwout     
  sec.ms , -         , -         , -         , -         , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , , , , , , °C        , ms        , km/h      , DK      , PED     , °KW       
"TIME","LambdaControl","AdaptationPartial","AirFuelRatioDesired","AirFuelRatioCurrent","ChargeLimitTurboProtection","WastegateDutyCycle","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","","BaroPressure","BoostPressureActual","AdaptationIdle","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","FuelInjectorOnTime","VehicleSpeed","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall"
    0.000, 1         , 0.85727   , 1         , 0.907716  , 174.258   , 0         , 8.55556   , 7.77778   , 3106.75   , 990.039   , 255.078   , 990.039   , 1040.23   , 0         , 16.0781   , 142.969   , 133.078   , 14.25     , 595       , 2.16      , 49.7266   , 4.70588   , 0         , 3.75      
    0.050, 1         , 0.85727   , 1         , 0.954835  , 174.211   , 0         , 8.3889    , 7.69445   , 3033      , 990.039   , 246.875   , 990.039   , 1037.58   , 0         , 15.6094   , 141.352   , 132.094   , 14.25     , 595       , 2.16      , 49.7109   , 4.70588   , 0         , 3.75      
    0.100, 1         , 0.85727   , 1         , 0.987306  , 173.438   , 0         , 8.02778   , 7.00001   , 2955.25   , 990.039   , 240.469   , 990.039   , 1037.58   , 0         , 15.1875   , 139.289   , 131.016   , 14.25     , 595       , 2.156     , 49.6563   , 4.70588   , 0         , 3.75      
    0.150, 1         , 0.85727   , 1         , 1.03198   , 170.813   , 0         , 7.97223   , 7.61112   , 2881.25   , 990.039   , 237.305   , 990.039   , 1032.3    , 0         , 14.9063   , 137.695   , 130.055   , 14.25     , 595       , 2.156     , 49.6094   , 4.70588   , 0         , 5.25      
    0.200, 1         , 0.85727   , 1         , 1.08301   , 169.547   , 0         , 7.83334   , 8.00001   , 2811.25   , 990.039   , 235.547   , 990.039   , 1032.3    , 0         , 14.7188   , 136.547   , 129.117   , 14.25     , 595       , 2.156     , 49.5625   , 4.31373   , 0         , 6         
    0.250, 1         , 0.85727   , 1         , 1.01489   , 167.227   , 0         , 7.72223   , 7.83334   , 2752.75   , 990.039   , 235.078   , 990.039   , 1029.65   , 0         , 14.6484   , 135.586   , 128.367   , 14.25     , 595       , 2.156     , 49.5156   , 4.31373   , 0         , 6         
    0.300, 1         , 0.85727   , 1         , 0.956056  , 165.984   , 0         , 7.44445   , 7.69445   , 2680      , 990.039   , 234.531   , 990.039   , 1026.99   , 0         , 14.5781   , 134.438   , 127.43    , 14.25     , 595       , 2.16      , 49.4297   , 4.31373   , 0         , 6         
    0.350, 1         , 0.85727   , 1         , 0.946046  , 163.617   , 0         , 7.33334   , 7.16667   , 2617.25   , 990.039   , 234.844   , 990.039   , 1024.38   , 0         , 14.5547   , 133.406   , 126.633   , 14.25     , 595       , 2.16      , 49.3906   , 4.31373   , 0         , 6.75      
    0.400, 1         , 0.85727   , 1         , 0.987306  , 161.695   , 0         , 7.16667   , 7.63889   , 2534.25   , 990.039   , 236.094   , 990.039   , 1024.38   , 0         , 14.5781   , 131.625   , 125.555   , 14.25     , 595       , 2.156     , 49.3125   , 3.92157   , 0.538643  , 8.25      
    0.450, 1         , 0.85727   , 1         , 1.02002   , 160.969   , 0         , 7.11112   , 7.36112   , 2477      , 990.039   , 237.969   , 990.039   , 1021.72   , 0         , 14.7188   , 131.273   , 124.758   , 14.25     , 595       , 2.16      , 49.2422   , 3.92157   , 5.21553   , 16.5      
    0.500, 1         , 0.85727   , 1         , 0.898927  , 159.938   , 0         , 6.88889   , 7.08334   , 2413.25   , 990.039   , 237.695   , 990.039   , 1021.72   , 0         , 14.7891   , 130.875   , 124.242   , 14.25     , 595       , 2.16      , 49.1641   , 3.92157   , 7.37315   , 19.5      
    0.550, 1         , 0.85727   , 1         , 0.88672   , 158.906   , 0         , 6.58334   , 7.11112   , 2347.5    , 990.039   , 236.641   , 990.039   , 1021.72   , 0         , 14.7891   , 130.078   , 123.633   , 14.9766   , 595       , 2.164     , 49.0938   , 3.52941   , 9.35224   , 27        
    0.600, 1         , 0.85727   , 1         , 0.918703  , 159.094   , 0         , 6.55556   , 7.19445   , 2286      , 990.039   , 237.031   , 990.039   , 1019.1    , 0         , 14.9063   , 129.141   , 123.094   , 16.2656   , 595       , 2.164     , 49.0234   , 3.52941   , 10.0709   , 26.25     
    0.650, 1         , 0.85727   , 1         , 0.917726  , 158.039   , 0         , 6.69445   , 7.30556   , 2247.25   , 990.039   , 238.711   , 990.039   , 1019.1    , 0         , 15.1172   , 128.227   , 122.625   , 18.0703   , 595       , 2.164     , 48.9766   , 3.92157   , 11.1498   , 26.25     
    0.700, 1         , 0.85727   , 1         , 0.900148  , 157.688   , 0         , 7.86112   , 7.44445   , 2237.25   , 990.039   , 244.766   , 990.039   , 1016.45   , 0         , 15.5859   , 127.031   , 122.438   , 22.1719   , 595       , 2.156     , 48.875    , 4.31373   , 14.0276   , 26.25     
    0.750, 1         , 0.85727   , 1         , 0.897706  , 157.688   , 0         , 9.47223   , 8.75001   , 2246      , 990.039   , 265.156   , 990.039   , 1016.45   , 0         , 17.2031   , 126.82    , 122.438   , 23.9531   , 595       , 2.156     , 48.8047   , 5.4902    , 15.4665   , 29.25     
    0.800, 1         , 0.85727   , 1         , 0.864259  , 157.617   , 0         , 10.25     , 9.69445   , 2286.75   , 990.039   , 287.969   , 990.039   , 1013.79   , 0         , 18.9609   , 126.469   , 122.602   , 27.7969   , 595       , 2.156     , 48.7109   , 5.4902    , 18.8845   , 33        
    0.850, 0.978608  , 0.85727   , 1         , 0.817384  , 158.719   , 0         , 12.1945   , 11.75     , 2327.25   , 990.039   , 313.32    , 990.039   , 1011.17   , 0         , 20.9063   , 126.352   , 122.93    , 31.8984   , 595       , 2.248     , 48.6406   , 7.05883   , 21.9424   , 35.25     
    0.900, 0.955415  , 0.85727   , 1         , 0.756593  , 158.578   , 0         , 13.6945   , 13.6945   , 2353      , 990.039   , 347.031   , 990.039   , 1008.52   , 0         , 23.5078   , 126.469   , 123.352   , 35.4609   , 595       , 2.408     , 48.5469   , 8.2353    , 23.92     , 34.5      
    0.950, 0.93866   , 0.85727   , 1         , 0.729982  , 158.508   , 0         , 16.2778   , 16.3333   , 2370      , 990.039   , 395.195   , 990.039   , 1005.86   , 0         , 27.2813   , 126.82    , 123.492   , 41.7422   , 595       , 2.608     , 48.5078   , 9.41177   , 26.9779   , 33        
    1.000, 0.908662  , 0.85727   , 1         , 0.737062  , 158.484   , 0         , 19.1111   , 18.6111   , 2321.75   , 990.039   , 450.234   , 990.039   , 1000.59   , 0         , 31.6172   , 126.867   , 123.609   , 46.9922   , 595       , 2.756     , 48.4063   , 11.3726   , 29.1371   , 33        
    1.050, 0.87259   , 0.85727   , 1         , 0.764405  , 157.57    , 0         , 21.75     , 22.1945   , 2265.5    , 990.039   , 528.711   , 990.039   , 1000.59   , 0         , 37.9688   , 127.078   , 122.719   , 53.5078   , 595       , 3.064     , 48.3672   , 12.1569   , 31.6548   , 30.75     
    1.100, 0.840882  , 0.85727   , 1         , 0.800782  , 158.742   , 0         , 23.9167   , 22.9445   , 2311.75   , 990.039   , 585.273   , 990.039   , 997.969   , 0         , 42.4219   , 126.023   , 122.859   , 59.625    , 595       , 3.172     , 48.2969   , 13.3333   , 34.5326   , 10.5      
    1.150, 0.817261  , 0.85727   , 1         , 0.84131   , 158.648   , 0         , 26.8056   , 26.6111   , 2308.75   , 990.039   , 653.047   , 990.039   , 995.313   , 0         , 47.7188   , 125.859   , 123.094   , 60.8906   , 595       , 3.368     , 48.2422   , 14.902    , 35.2513   , 28.5      
    1.200, 1         , 0.85727   , 1         , 0.853273  , 159.164   , 0         , 26.2778   , 26.0278   , 2293.75   , 990.039   , 705.742   , 990.039   , 997.969   , 0         , 52.0547   , 126.422   , 122.953   , 61.6641   , 595       , 3.892     , 48.2031   , 14.902    , 35.6115   , 27        
    1.250, 1         , 0.85727   , 1         , 0.912111  , 159.164   , 0         , 25.8889   , 25.7778   , 2303.25   , 990.039   , 726.68    , 990.039   , 997.969   , 0         , 53.7422   , 125.883   , 122.906   , 62.5547   , 595       , 3.936     , 48.1797   , 14.902    , 35.9716   , 27        
    1.300, 1         , 0.85727   , 1         , 0.904542  , 159.117   , 0         , 25.6945   , 25.3056   , 2312.5    , 990.039   , 745.039   , 990.039   , 1000.59   , 0         , 55.1719   , 125.695   , 123.023   , 62.2734   , 595       , 3.924     , 48.1484   , 14.902    , 35.9716   , 26.25     
    1.350, 1         , 0.85727   , 1         , 0.909914  , 159.117   , 0         , 26.0278   , 26.0278   , 2304.5    , 990.039   , 761.641   , 990.039   , 1000.59   , 0         , 56.4844   , 125.719   , 123.023   , 62.2031   , 595       , 3.996     , 48.1484   , 15.2941   , 35.9716   , 26.25     
    1.400, 1         , 0.85727   , 1         , 0.912111  , 159.117   , 0         , 26.2222   , 26.75     , 2312.25   , 990.039   , 775.859   , 990.039   , 1000.59   , 0         , 57.6094   , 125.648   , 123       , 62.1797   , 595       , 4.056     , 48.1563   , 15.6863   , 35.9716   , 25.5      
    1.450, 1         , 0.85727   , 1         , 0.914308  , 159.094   , 0         , 26.3056   , 27.1111   , 2323      , 990.039   , 787.383   , 990.039   , 1003.24   , 0         , 58.5      , 125.555   , 123.117   , 61.9922   , 595       , 4.072     , 48.1641   , 15.6863   , 35.9716   , 22.5      
