
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 8E0909518AK_368072_NEF_STG_1_Tunedv7.ecu

ECU identified with following data:
HWNumber    = 0261208230       (requested was 0261208230)
SWNumber    = 1037368072       (requested was 1037368072)
PartNumber  = 8E0909518AK      (requested was 8E0909518AK)
SWVersion   = 0003             (requested was 0003)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 8E0909018A
ModelId     = G

Log packet size: 44 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  08.02.2026 15:07:03.734

TimeStamp, fr_w      , fra_w     , lamsbg_w  , lamsoni_w , ldrlts_w  , ldtvm     , msdk_w    , mshfm_w   , nmot_w    , plsol_w   , ps_w      , pus_w     , pvdkds_w  , rkat_w    , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , ti_b1     , vfil_w    , wdkba     , wped_w    , zwout     
  sec.ms , -         , -         , -         , -         , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , , , , , , °C        , ms        , km/h      , DK      , PED     , °KW       
"TIME","LambdaControl","AdaptationPartial","AirFuelRatioDesired","AirFuelRatioCurrent","ChargeLimitTurboProtection","WastegateDutyCycle","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","","BaroPressure","BoostPressureActual","AdaptationIdle","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","FuelInjectorOnTime","VehicleSpeed","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall"
    0.000, 0.956635  , 0.85727   , 1         , 0.868898  , 147.516   , 0         , 3.5       , 3.52778   , 776.5     , 990.039   , 373.242   , 990.039   , 987.383   , -0.046875 , 23.7656   , 90.7266   , 90.75     , 24.6328   , 525       , 2.184     , 0         , 1.17647   , 0         , 7.5       
    0.050, 0.950623  , 0.85727   , 1         , 0.873536  , 147.516   , 0         , 3.5       , 3.47222   , 773.75    , 990.039   , 372.891   , 990.039   , 987.383   , -0.046875 , 23.7422   , 90.7266   , 90.75     , 24.5625   , 525       , 2.168     , 0         , 1.56863   , 0         , 8.25      
    0.100, 1         , 0.85727   , 1         , 0.869874  , 147.516   , 0         , 3.5       , 3.47222   , 773       , 990.039   , 372.813   , 990.039   , 984.727   , -0.046875 , 23.7422   , 90.7266   , 90.75     , 24.7734   , 525       , 2.216     , 0         , 1.17647   , 0         , 9.75      
    0.150, 0.979951  , 0.85727   , 1         , 0.865236  , 147.516   , 0         , 3.55556   , 3.44445   , 778.5     , 990.039   , 371.875   , 990.039   , 987.383   , -0.046875 , 23.6719   , 90.7266   , 90.75     , 24.6797   , 525       , 2.196     , 0         , 1.56863   , 0         , 7.5       
    0.200, 0.974213  , 0.85727   , 1         , 0.867921  , 147.516   , 0         , 3.55556   , 3.5       , 778       , 990.039   , 371.563   , 990.039   , 987.383   , -0.046875 , 23.6484   , 90.7266   , 90.75     , 24.5625   , 525       , 2.192     , 0         , 1.56863   , 0         , 8.25      
    0.250, 0.97165   , 0.85727   , 1         , 0.868898  , 147.516   , 0         , 3.55556   , 3.55556   , 773       , 990.039   , 372.305   , 990.039   , 987.383   , -0.046875 , 23.6953   , 90.7266   , 90.75     , 24.5859   , 525       , 2.18      , 0         , 1.56863   , 0         , 8.25      
    0.300, 0.965455  , 0.85727   , 1         , 0.861574  , 147.516   , 0         , 3.55556   , 3.5       , 778.5     , 990.039   , 372.031   , 990.039   , 987.383   , -0.046875 , 23.6719   , 90.7266   , 90.75     , 24.7031   , 525       , 2.172     , 0         , 1.56863   , 0         , 8.25      
    0.350, 0.960664  , 0.85727   , 1         , 0.86255   , 147.516   , 0         , 3.5       , 3.52778   , 776.25    , 990.039   , 372.148   , 990.039   , 987.383   , -0.046875 , 23.6719   , 90.7266   , 90.75     , 24.6094   , 525       , 2.18      , 0         , 1.17647   , 0         , 8.25      
    0.400, 0.954957  , 0.85727   , 1         , 0.866212  , 147.516   , 0         , 3.55556   , 3.5       , 773.25    , 990.039   , 372.148   , 990.039   , 987.383   , -0.046875 , 23.6719   , 90.7266   , 90.75     , 24.75     , 525       , 2.172     , 0         , 1.17647   , 0         , 8.25      
    0.450, 1         , 0.85727   , 1         , 0.861574  , 147.516   , 0         , 3.55556   , 3.52778   , 780.75    , 990.039   , 372.93    , 990.039   , 987.383   , -0.046875 , 23.7422   , 90.7266   , 90.75     , 24.6328   , 525       , 2.164     , 0         , 1.17647   , 0         , 6.75      
    0.500, 0.988953  , 0.85727   , 1         , 0.85962   , 147.516   , 0         , 3.5       , 3.55556   , 779.25    , 990.039   , 372.969   , 990.039   , 987.383   , -0.046875 , 23.7422   , 90.7266   , 90.75     , 24.5625   , 525       , 2.216     , 0         , 1.56863   , 0         , 7.5       
    0.550, 0.976716  , 0.85727   , 1         , 0.865236  , 147.516   , 0         , 3.55556   , 3.47222   , 774.25    , 990.039   , 372.5     , 990.039   , 987.383   , -0.046875 , 23.7188   , 90.7266   , 90.75     , 24.6328   , 525       , 2.196     , 0         , 1.17647   , 0         , 8.25      
    0.600, 0.972169  , 0.85727   , 1         , 0.864259  , 147.516   , 0         , 3.55556   , 3.47222   , 780       , 990.039   , 371.641   , 990.039   , 987.383   , -0.046875 , 23.6484   , 90.7266   , 90.75     , 24.6797   , 525       , 2.18      , 0         , 1.17647   , 0         , 7.5       
    0.650, 0.967988  , 0.85727   , 1         , 0.860597  , 147.516   , 0         , 3.55556   , 3.5       , 777.75    , 990.039   , 371.484   , 990.039   , 987.383   , -0.046875 , 23.625    , 90.7266   , 90.75     , 24.6094   , 525       , 2.18      , 0         , 1.17647   , 0         , 7.5       
    0.700, 0.964295  , 0.85727   , 1         , 0.86255   , 147.516   , 0         , 3.5       , 3.44445   , 774.75    , 990.039   , 370.977   , 990.039   , 987.383   , -0.046875 , 23.6016   , 90.7266   , 90.75     , 24.6797   , 525       , 2.18      , 0         , 1.17647   , 0         , 8.25      
    0.750, 0.959595  , 0.85727   , 1         , 0.867189  , 147.516   , 0         , 3.55556   , 3.44445   , 781       , 990.039   , 370.039   , 990.039   , 987.383   , -0.046875 , 23.5313   , 90.7266   , 90.75     , 24.75     , 525       , 2.16      , 0         , 1.56863   , 0         , 8.25      
    0.800, 0.99405   , 0.85727   , 1         , 0.86255   , 147.516   , 0         , 3.52778   , 3.58334   , 778.75    , 990.039   , 370.742   , 990.039   , 987.383   , -0.046875 , 23.5781   , 90.7266   , 90.75     , 24.5859   , 525       , 2.204     , 0         , 1.56863   , 0         , 8.25      
    0.850, 0.977753  , 0.85727   , 1         , 0.863283  , 147.516   , 0         , 3.47222   , 3.5       , 774.75    , 990.039   , 370.82    , 990.039   , 987.383   , -0.046875 , 23.5781   , 90.7266   , 90.75     , 24.6797   , 525       , 2.196     , 0         , 1.17647   , 0         , 8.25      
    0.900, 0.973695  , 0.85727   , 1         , 0.867921  , 147.516   , 0         , 3.52778   , 3.5       , 777       , 990.039   , 370.82    , 990.039   , 987.383   , -0.046875 , 23.5781   , 90.7266   , 90.75     , 24.75     , 525       , 2.184     , 0         , 1.17647   , 0         , 8.25      
    0.950, 0.970277  , 0.85727   , 1         , 0.866212  , 147.516   , 0         , 3.52778   , 3.47222   , 778       , 990.039   , 370.352   , 990.039   , 987.383   , -0.046875 , 23.5547   , 90.7266   , 90.75     , 24.6094   , 525       , 2.172     , 0         , 1.17647   , 0         , 8.25      
    1.000, 0.965333  , 0.85727   , 1         , 0.863283  , 147.516   , 0         , 3.52778   , 3.44445   , 772.75    , 990.039   , 370.039   , 990.039   , 987.383   , -0.046875 , 23.5313   , 90.7266   , 90.75     , 24.7031   , 525       , 2.168     , 0         , 1.56863   , 0         , 9.75      
    1.050, 0.961457  , 0.85727   , 1         , 0.868898  , 147.516   , 0         , 3.52778   , 3.47222   , 772.75    , 990.039   , 370.82    , 990.039   , 984.727   , -0.046875 , 23.5781   , 90.7266   , 90.75     , 24.8438   , 525       , 2.176     , 0         , 1.56863   , 0         , 9.75      
    1.100, 0.954102  , 0.85727   , 1         , 0.869874  , 147.516   , 0         , 3.52778   , 3.5       , 777.75    , 990.039   , 370.977   , 990.039   , 987.383   , -0.046875 , 23.6016   , 90.7266   , 90.75     , 24.75     , 525       , 2.168     , 0         , 1.56863   , 0         , 8.25      
    1.150, 0.994019  , 0.85727   , 1         , 0.866212  , 147.516   , 0         , 3.52778   , 3.52778   , 776.75    , 990.039   , 370.938   , 990.039   , 987.383   , -0.046875 , 23.6016   , 90.7266   , 90.75     , 24.7031   , 525       , 2.212     , 0         , 1.56863   , 0         , 8.25      
    1.200, 0.977875  , 0.85727   , 1         , 0.867921  , 147.516   , 0         , 3.55556   , 3.61111   , 780.5     , 990.039   , 371.523   , 990.039   , 987.383   , -0.046875 , 23.625    , 90.7266   , 90.75     , 24.7266   , 525       , 2.2       , 0         , 1.56863   , 0         , 7.5       
    1.250, 0.973786  , 0.85727   , 1         , 0.87256   , 147.516   , 0         , 3.55556   , 3.55556   , 784.75    , 990.039   , 371.523   , 990.039   , 987.383   , -0.046875 , 23.625    , 90.7266   , 90.75     , 24.6328   , 525       , 2.188     , 0         , 1.56863   , 0         , 6.75      
    1.300, 0.969697  , 0.85727   , 1         , 0.868898  , 147.516   , 0         , 3.58334   , 3.58334   , 776.75    , 990.039   , 372.227   , 990.039   , 987.383   , -0.046875 , 23.6953   , 90.7266   , 90.75     , 24.5625   , 525       , 2.184     , 0         , 1.56863   , 0         , 7.5       
    1.350, 0.964661  , 0.85727   , 1         , 0.866212  , 147.516   , 0         , 3.58334   , 3.58334   , 778.25    , 990.039   , 372.695   , 990.039   , 987.383   , -0.046875 , 23.7188   , 90.7266   , 90.75     , 24.7031   , 525       , 2.192     , 0         , 1.56863   , 0         , 7.5       
    1.400, 0.960694  , 0.85727   , 1         , 0.870851  , 147.516   , 0         , 3.55556   , 3.61111   , 781.25    , 990.039   , 373.281   , 990.039   , 987.383   , -0.046875 , 23.7656   , 90.7266   , 90.75     , 24.6563   , 525       , 2.184     , 0         , 1.56863   , 0         , 7.5       
    1.450, 0.952393  , 0.85727   , 1         , 0.869874  , 147.516   , 0         , 3.58334   , 3.55556   , 772.25    , 990.039   , 375       , 990.039   , 987.383   , -0.046875 , 23.9063   , 90.7266   , 90.75     , 24.5859   , 525       , 2.172     , 0         , 1.56863   , 0         , 8.25      
